site,event,timestamp
site_4,unregistered 49NWZQSB9CYWYCD6,2024-07-23 13:52:13,915
site_1,unregistered DSYPM7DDLQOPDESV,2024-07-23 13:52:15,451
site_4,unregistered 49NWZQSB9CYWYCD6,2024-07-23 13:52:19,829
site_1,unregistered DSYPM7DDLQOPDESV,2024-07-23 13:52:21,374
site_3,OLT not responding,2024-07-23 13:52:21,573
site_3,OLT up,2024-07-23 13:52:24,793
site_2,unregistered IA7OOQ1Z1UWXTIMA,2024-07-23 13:52:41,550
site_2,unregistered IA7OOQ1Z1UWXTIMA,2024-07-23 13:52:50,016
site_2,registered IA7OOQ1Z1UWXTIMA,2024-07-23 13:52:56,031
site_2,unregistered QW3QD7BIC0LOK1J7,2024-07-23 13:53:15,433
site_2,unregistered QW3QD7BIC0LOK1J7,2024-07-23 13:53:24,424
site_2,registered QW3QD7BIC0LOK1J7,2024-07-23 13:53:29,984
site_3,unregistered D97Q406C18V4NNNE,2024-07-23 13:53:30,233
site_3,unregistered D97Q406C18V4NNNE,2024-07-23 13:53:35,807
site_4,unregistered 153HO2JEVJDBECC1,2024-07-23 13:53:39,997
site_3,registered D97Q406C18V4NNNE,2024-07-23 13:53:44,566
site_4,unregistered 153HO2JEVJDBECC1,2024-07-23 13:53:45,666
site_2,unregistered X5712CPWOOU90B35,2024-07-23 13:53:50,121
site_4,registered 153HO2JEVJDBECC1,2024-07-23 13:53:54,220
site_2,unregistered X5712CPWOOU90B35,2024-07-23 13:53:58,773
site_2,registered X5712CPWOOU90B35,2024-07-23 13:54:04,419
site_4,unregistered RNZ84FPNYOH40G9P,2024-07-23 13:54:30,611
site_4,unregistered RNZ84FPNYOH40G9P,2024-07-23 13:54:36,220
site_4,registered RNZ84FPNYOH40G9P,2024-07-23 13:54:44,709
site_2,unregistered C6BGP47SXO6LSMOH,2024-07-23 13:54:58,977
site_2,unregistered C6BGP47SXO6LSMOH,2024-07-23 13:55:07,358
site_2,registered C6BGP47SXO6LSMOH,2024-07-23 13:55:13,185
site_2,unregistered OHLGMLCZIG7YQROO,2024-07-23 13:55:15,882
site_2,unregistered OHLGMLCZIG7YQROO,2024-07-23 13:55:24,312
site_2,registered OHLGMLCZIG7YQROO,2024-07-23 13:55:29,971
site_4,unregistered WLW7YWTL2OUUQ7KC,2024-07-23 13:55:43,808
site_4,unregistered WLW7YWTL2OUUQ7KC,2024-07-23 13:55:49,481
site_4,registered WLW7YWTL2OUUQ7KC,2024-07-23 13:55:57,860
site_1,unregistered QWPQYROB0209B6NR,2024-07-23 13:56:02,046
site_1,unregistered QWPQYROB0209B6NR,2024-07-23 13:56:07,637
site_1,registered QWPQYROB0209B6NR,2024-07-23 13:56:16,110
site_1,unregistered F7JSOXUUV93WFP7P,2024-07-23 13:56:41,238
site_1,unregistered F7JSOXUUV93WFP7P,2024-07-23 13:56:46,833
site_1,registered F7JSOXUUV93WFP7P,2024-07-23 13:56:55,266
site_1,unregistered B4NKNW8INFMV05PN,2024-07-23 13:57:20,263
site_1,unregistered B4NKNW8INFMV05PN,2024-07-23 13:57:25,818
site_1,unregistered B4NKNW8INFMV05PN,2024-07-23 13:57:31,326
site_1,registered B4NKNW8INFMV05PN,2024-07-23 13:57:34,373
site_2,OLT not responding,2024-07-23 13:57:46,685
site_2,OLT up,2024-07-23 13:57:55,106
