site_1,unregistered 005B0XTWFP1T084I,2024-07-23 15:47:55,293
site_1,unregistered 005B0XTWFP1T084I,2024-07-23 15:48:00,929
site_1,unregistered 005B0XTWFP1T084I,2024-07-23 15:48:06,732
site_1,registered 005B0XTWFP1T084I,2024-07-23 15:48:09,761
site_4,unregistered 099EWVGOTXQPGKDO,2024-07-23 15:48:28,367
site_4,unregistered 099EWVGOTXQPGKDO,2024-07-23 15:48:34,176
site_4,registered 099EWVGOTXQPGKDO,2024-07-23 15:48:43,401
site_4,unregistered RNZ84FPNYOH40G9P,2024-07-23 15:49:27,722
site_4,unregistered RNZ84FPNYOH40G9P,2024-07-23 15:49:33,431
site_2,unregistered AZ4ASPLMLJQSCIVA,2024-07-23 15:49:41,374
site_4,registered RNZ84FPNYOH40G9P,2024-07-23 15:49:41,958
site_2,unregistered AZ4ASPLMLJQSCIVA,2024-07-23 15:49:50,565
site_2,registered AZ4ASPLMLJQSCIVA,2024-07-23 15:49:56,794
site_1,unregistered 3K7M72QJJWZ2I81U,2024-07-23 15:50:49,462
site_1,unregistered 3K7M72QJJWZ2I81U,2024-07-23 15:50:55,219
site_3,unregistered XTA48C71IVX8JZC9,2024-07-23 15:51:00,962
site_1,registered 3K7M72QJJWZ2I81U,2024-07-23 15:51:03,676
site_3,unregistered XTA48C71IVX8JZC9,2024-07-23 15:51:06,590
site_3,registered XTA48C71IVX8JZC9,2024-07-23 15:51:15,637
site_4,unregistered 49NWZQSB9CYWYCD6,2024-07-23 15:51:46,875
site_4,unregistered 49NWZQSB9CYWYCD6,2024-07-23 15:51:52,895
site_4,registered 49NWZQSB9CYWYCD6,2024-07-23 15:52:01,455
