site,event,timestamp
site_4,unregistered KEZSU2KJC2TMCGUN,2024-07-24 19:31:46,608
site_4,unregistered KEZSU2KJC2TMCGUN,2024-07-24 19:31:52,202
site_4,registered KEZSU2KJC2TMCGUN,2024-07-24 19:32:01,166
site_6,unregistered X1RD6MIABRB0DDFP,2024-07-24 19:32:03,316
site_6,unregistered X1RD6MIABRB0DDFP,2024-07-24 19:32:09,013
site_6,unregistered X1RD6MIABRB0DDFP,2024-07-24 19:32:14,873
site_6,registered X1RD6MIABRB0DDFP,2024-07-24 19:32:18,068
site_5,unregistered ZDDTAQPYDCYHE7W9,2024-07-24 19:32:24,498
site_5,unregistered ZDDTAQPYDCYHE7W9,2024-07-24 19:32:36,354
site_5,registered ZDDTAQPYDCYHE7W9,2024-07-24 19:32:39,100
