site,event,timestamp
site_1,unregistered 24JIJDO6OUUNUZDP,2024-07-23 12:10:31,628
site_1,unregistered 24JIJDO6OUUNUZDP,2024-07-23 12:10:37,338
site_3,unregistered PU8KZ573ZVIRIKNV,2024-07-23 12:10:42,621
site_1,unregistered 24JIJDO6OUUNUZDP,2024-07-23 12:10:43,088
site_1,registered 24JIJDO6OUUNUZDP,2024-07-23 12:10:46,577
site_3,unregistered PU8KZ573ZVIRIKNV,2024-07-23 12:10:48,382
site_1,unregistered H3YMLKPTK5L85A7N,2024-07-23 12:10:54,901
site_3,registered PU8KZ573ZVIRIKNV,2024-07-23 12:10:57,270
site_1,unregistered H3YMLKPTK5L85A7N,2024-07-23 12:11:00,850
site_1,unregistered H3YMLKPTK5L85A7N,2024-07-23 12:11:06,498
site_1,registered H3YMLKPTK5L85A7N,2024-07-23 12:11:09,174
site_1,unregistered F70L91A96CBHXGK9,2024-07-23 12:11:17,743
site_1,unregistered F70L91A96CBHXGK9,2024-07-23 12:11:23,401
site_1,registered F70L91A96CBHXGK9,2024-07-23 12:11:31,877
site_1,unregistered SQNUZ9D59E0XSNAU,2024-07-23 12:11:46,106
site_1,unregistered SQNUZ9D59E0XSNAU,2024-07-23 12:11:51,849
site_1,registered SQNUZ9D59E0XSNAU,2024-07-23 12:12:00,515
site_3,unregistered 6W6B0QRE0RTBK2FD,2024-07-23 12:12:20,063
site_3,unregistered L3CVY36O64VLKWOZ,2024-07-23 12:12:25,664
site_3,unregistered 6W6B0QRE0RTBK2FD,2024-07-23 12:12:25,664
site_3,unregistered L3CVY36O64VLKWOZ,2024-07-23 12:12:31,421
site_3,registered 6W6B0QRE0RTBK2FD,2024-07-23 12:12:34,265
site_3,registered L3CVY36O64VLKWOZ,2024-07-23 12:12:40,105
site_1,unregistered YAU2OSXHQ8SOT0O9,2024-07-23 12:13:11,315
site_1,unregistered YAU2OSXHQ8SOT0O9,2024-07-23 12:13:16,896
site_1,registered YAU2OSXHQ8SOT0O9,2024-07-23 12:13:25,479
site_2,OLT not responding,2024-07-23 12:13:28,147
site_2,OLT up,2024-07-23 12:13:28,658
site_2,unregistered YSOUBHBZPKCY3UEH,2024-07-23 12:13:57,304
site_1,unregistered DSYPM7DDLQOPDESV,2024-07-23 12:14:02,784
site_2,unregistered YSOUBHBZPKCY3UEH,2024-07-23 12:14:05,766
site_1,unregistered DSYPM7DDLQOPDESV,2024-07-23 12:14:08,377
site_2,registered YSOUBHBZPKCY3UEH,2024-07-23 12:14:12,226
site_1,registered DSYPM7DDLQOPDESV,2024-07-23 12:14:16,958
site_3,unregistered 2K28KIW8GXUYHJ2O,2024-07-23 12:15:16,067
