_,Starting chaos monkey,2024-11-04 22:26:17_470
site_1,Changing snmp profile for 2EK6ISG6650DQLXB from site_1,2024-11-04 22:26:30_462
site_1,Changing snmp profile for N0UTTW70V0V0PGPS from site_1,2024-11-04 22:26:42_987
site_2,Changing vlan type for LNK584GES7ESPYV6 from site_2,2024-11-04 22:26:58_761
site_1,Changing s vlan for HLBXLATGBKRV5BY6 from site_1,2024-11-04 22:27:11_080
site_2,Changing gemport for WYGEMJKRVS2D48MP from site_2,2024-11-04 22:27:33_789
site_2,Changing gemport for HOLC8BQ49IBMWKG1 from site_2,2024-11-04 22:27:47_849
site_2,Changing vlan type for 9Y3JYTSDDCGI43I7 from site_2,2024-11-04 22:27:54_011
site_2,Changing state of dhcpv6-relay from site_2,2024-11-04 22:28:12_393
site_3,Changing s vlan for 3VI920SEOL5F1ZCE from site_3,2024-11-04 22:28:19_350
site_2,Changing state of mqtt from site_2,2024-11-04 22:28:42_494
site_3,Changing snmp profile for 2JZXGB2VUYN3WIHK from site_3,2024-11-04 22:28:50_430
site_3,Changing state of mqtt from site_3,2024-11-04 22:29:09_844
site_2,Changing snmp profile for K5O0XN1GH29PDMEU from site_2,2024-11-04 22:29:15_076
site_3,Changing s vlan for W345SYFB8NX8CJN4 from site_3,2024-11-04 22:29:20_730
site_3,Changing snmp profile for 8X557RCRZ6MCML71 from site_3,2024-11-04 22:29:22_275
site_2,Unregistering OJLFR5V3EK395Y9J from site_2,2024-11-04 22:29:28_019
site_2,Changing state of dhcp-relay from site_2,2024-11-04 22:29:53_454
site_1,Changing s vlan for 6URQPS9MXARWZR1L from site_1,2024-11-04 22:30:02_516
site_3,Changing s vlan for 7POHRXIGBR0ZYKPM from site_3,2024-11-04 22:30:05_294
site_2,Changing gemport for WXNOBAYC73VUR8J3 from site_2,2024-11-04 22:30:29_982
site_1,Changing snmp profile for M2IQWXXZGAR5UHMJ from site_1,2024-11-04 22:30:36_292
site_1,Changing state of twamp from site_1,2024-11-04 22:30:53_660
site_1,Changing state of snmpv6 from site_1,2024-11-04 22:31:04_934
site_3,Changing gemport for 4CIOVOVI78XBZBPP from site_3,2024-11-04 22:31:10_727
site_3,Changing vlan type for L9PZBE4O2YDADV7Z from site_3,2024-11-04 22:31:15_299
site_1,Unregistering 7Q2I65TGRB62G859 from site_1,2024-11-04 22:31:22_175
site_1,Changing vlan type for I2OUH8807W0FOKYC from site_1,2024-11-04 22:31:27_714
site_2,Changing vlan type for FVVJLPMJ0HPM7G8C from site_2,2024-11-04 22:31:30_407
site_1,Changing state of trace from site_1,2024-11-04 22:31:36_739
site_3,Changing snmp profile for 16HSJ3V77KPYDZ67 from site_3,2024-11-04 22:31:38_015
site_1,Changing vlan type for TEBB1APSUSXF7NXP from site_1,2024-11-04 22:31:40_674
site_1,Changing vlan type for XW3FMTPRGV6DNGTU from site_1,2024-11-04 22:32:04_379
site_1,Changing vlan type for 2COYQ5ZWPUXVL9XR from site_1,2024-11-04 22:32:25_674
site_2,Changing s vlan for FZN7PNIIWXJKXBB5 from site_2,2024-11-04 22:32:41_027
site_2,Changing s vlan for ZZSZZFV2QOJ5Y168 from site_2,2024-11-04 22:32:44_852
site_1,Changing gemport for IMSPB39LWPVC16Z6 from site_1,2024-11-04 22:32:49_588
site_3,Changing gemport for OJLFR5V3EK395Y9J from site_3,2024-11-04 22:33:21_985
site_2,Changing gemport for 50OQNKIF4S84TEQH from site_2,2024-11-04 22:33:26_477
site_1,Changing snmp profile for K6TZNX3M6C3D1YAW from site_1,2024-11-04 22:33:40_693
site_3,Changing c vlan for U9XVCVPBNWVH2TDI from site_3,2024-11-04 22:33:47_867
site_1,Changing c vlan for MI9VKRR4L3IUETKF from site_1,2024-11-04 22:33:52_148
site_2,Changing s vlan for FV4XG1KYOVMVRCSI from site_2,2024-11-04 22:33:59_171
site_3,Changing s vlan for MQKRT5E4BNGOWXIC from site_3,2024-11-04 22:34:03_880
site_1,Changing vlan type for 16HSJ3V77KPYDZ67 from site_1,2024-11-04 22:34:22_097
site_2,Changing gemport for VJ935MQ9ASQJZ3BN from site_2,2024-11-04 22:34:31_333
site_1,Unregistering FVVJLPMJ0HPM7G8C from site_1,2024-11-04 22:34:39_293
site_1,Changing state of netconf from site_1,2024-11-04 22:34:41_367
site_2,Changing gemport for GBPSIUT23C7R8I85 from site_2,2024-11-04 22:34:58_748
site_3,Changing state of twamp from site_3,2024-11-04 22:35:07_380
site_3,Changing state of sshv6 from site_3,2024-11-04 22:35:32_386
site_2,Changing vlan type for KC0JQF6GW90DPVRY from site_2,2024-11-04 22:35:36_858
site_3,Changing s vlan for WJE4U7DB3KJ1701U from site_3,2024-11-04 22:35:49_391
site_3,Changing c vlan for RAWCH1QBYMCEKA26 from site_3,2024-11-04 22:36:10_838
site_3,Changing c vlan for TE7006T7CBWLQMMU from site_3,2024-11-04 22:36:13_940
site_2,Changing state of sftp-client from site_2,2024-11-04 22:36:15_705
site_2,Changing c vlan for PLIAOSGY0X85870B from site_2,2024-11-04 22:36:17_178
site_2,Unregistering BWB0RWDRLTU731H8 from site_2,2024-11-04 22:36:21_008
site_3,Changing gemport for J1OKJYJCZKGYO1E0 from site_3,2024-11-04 22:36:23_354
site_3,Changing c vlan for ZFX75H69KIVGHDT4 from site_3,2024-11-04 22:36:29_675
