site,event,timestamp
site_1,unregistered D7JFD2KPNJBN5UGS,2024-07-23 10:13:19,297
site_1,unregistered D7JFD2KPNJBN5UGS,2024-07-23 10:13:24,936
site_1,unregistered D7JFD2KPNJBN5UGS,2024-07-23 10:13:30,533
site_1,registered D7JFD2KPNJBN5UGS,2024-07-23 10:13:33,531
site_1,unregistered 0W44ZGCC8P7CN84X,2024-07-23 10:14:09,959
site_1,unregistered 0W44ZGCC8P7CN84X,2024-07-23 10:14:15,572
site_1,registered 0W44ZGCC8P7CN84X,2024-07-23 10:14:24,059
site_1,unregistered FJ619DVLMHZXK3X4,2024-07-23 10:14:32,345
site_1,unregistered FJ619DVLMHZXK3X4,2024-07-23 10:14:37,928
site_1,unregistered FJ619DVLMHZXK3X4,2024-07-23 10:14:43,587
site_1,registered FJ619DVLMHZXK3X4,2024-07-23 10:14:46,379
site_1,unregistered HW888HTMZL5QT0KC,2024-07-23 10:15:00,212
site_1,unregistered HW888HTMZL5QT0KC,2024-07-23 10:15:05,842
site_1,unregistered DDL9USRSO1NUBIXD,2024-07-23 10:15:11,382
site_1,registered DDL9USRSO1NUBIXD,2024-07-23 10:15:11,417
site_1,registered HW888HTMZL5QT0KC,2024-07-23 10:15:12,003
site_1,OLT not responding,2024-07-23 10:15:31,540
site_1,OLT up,2024-07-23 10:15:32,004
site_1,unregistered D1T1VE6CHM2F5K8I,2024-07-23 10:15:45,398
site_1,unregistered D1T1VE6CHM2F5K8I,2024-07-23 10:15:50,939
site_1,registered D1T1VE6CHM2F5K8I,2024-07-23 10:16:01,021
site_1,OLT not responding,2024-07-23 10:16:11,119
site_1,OLT up,2024-07-23 10:16:12,329
site_1,unregistered 32GBFT9MAAHGKDAO,2024-07-23 10:17:10,823
site_1,unregistered 32GBFT9MAAHGKDAO,2024-07-23 10:17:16,411
site_1,unregistered O4BKNW75NTV9SK6C,2024-07-23 10:17:16,411
site_1,unregistered 32GBFT9MAAHGKDAO,2024-07-23 10:17:21,968
site_1,unregistered GC46N0YKUGERKJ84,2024-07-23 10:17:21,968
site_1,unregistered O4BKNW75NTV9SK6C,2024-07-23 10:17:21,968
site_1,registered 32GBFT9MAAHGKDAO,2024-07-23 10:17:24,787
site_1,unregistered GC46N0YKUGERKJ84,2024-07-23 10:17:27,498
site_1,registered O4BKNW75NTV9SK6C,2024-07-23 10:17:30,479
site_1,registered GC46N0YKUGERKJ84,2024-07-23 10:17:36,092
