time,site,event,timestamp
2024-11-08 11:15:24_641,9b4387a4-6c2a-4c02-a995-9ee89c5eb82b,site_9,detected,service changed,ftp-client
2024-11-08 11:15:41_545,9b4387a4-6c2a-4c02-a995-9ee89c5eb82b,site_9,fixed,service changed,ftp-client
2024-11-08 11:16:05_782,2f6c31a9-0226-4b43-9b67-012a8452b1f2,site_5,detected,service changed,sftp-client
2024-11-08 11:16:08_394,1a16be9f-67cd-47da-9820-e84b2c80f355,site_2,detected,service changed,mqtt
2024-11-08 11:16:23_594,2f6c31a9-0226-4b43-9b67-012a8452b1f2,site_5,fixed,service changed,sftp-client
2024-11-08 11:16:24_595,1a16be9f-67cd-47da-9820-e84b2c80f355,site_2,fixed,service changed,mqtt
2024-11-08 11:17:39_493,3be73e99-d8b2-4ef3-a111-4172c3b3fee1,site_10,detected,c_vlan,O3MR053OAJQUCGM2
2024-11-08 11:17:39_517,639d617c-f4df-4307-8bc8-3e2984a9bc64,site_10,detected,s_vlan,SEJH5GGN758AIUIX
2024-11-08 11:17:39_536,5cc513ce-b260-454c-aa09-4731cfecadcf,site_10,detected,vlan_type,3TEJG7UA4XVG9I84
2024-11-08 11:17:42_826,6d4a381e-22e4-4ea9-b8e8-f42a90cba6ec,site_10,detected,service changed,mqtt
2024-11-08 11:17:53_081,0b1b982c-ff70-4694-a489-18272c72b095,site_4,detected,service changed,portal
2024-11-08 11:17:58_744,6d4a381e-22e4-4ea9-b8e8-f42a90cba6ec,site_10,fixed,service changed,mqtt
2024-11-08 11:18:12_783,0b1b982c-ff70-4694-a489-18272c72b095,site_4,fixed,service changed,portal
2024-11-08 11:19:06_894,09af7638-88d0-4e87-ba66-e517b92ca771,site_7,detected,service changed,sshv6
2024-11-08 11:19:20_964,09af7638-88d0-4e87-ba66-e517b92ca771,site_7,fixed,service changed,sshv6
2024-11-08 11:19:41_481,26a9ba1d-9574-4796-abcf-b6cdb8f0a3b3,site_9,detected,service changed,ftp-client
2024-11-08 11:19:57_067,26a9ba1d-9574-4796-abcf-b6cdb8f0a3b3,site_9,fixed,service changed,ftp-client
2024-11-08 11:20:03_116,e2904058-2f48-4634-a6a6-cc3a3ba9db81,site_1,detected,service changed,ftp-client
2024-11-08 11:20:03_117,f1d42c55-c8f7-4648-a979-8a8a91040846,site_1,detected,service changed,portal
2024-11-08 11:20:03_117,9a1b945e-bfda-47b9-83cc-c1661a18025e,site_1,detected,service changed,trace
2024-11-08 11:20:21_157,e2904058-2f48-4634-a6a6-cc3a3ba9db81,site_1,fixed,service changed,ftp-client
2024-11-08 11:20:21_158,9a1b945e-bfda-47b9-83cc-c1661a18025e,site_1,fixed,service changed,trace
2024-11-08 11:20:22_161,f1d42c55-c8f7-4648-a979-8a8a91040846,site_1,fixed,service changed,portal
2024-11-08 11:20:33_605,b1772259-b94d-4cc1-8b1c-ae8840c1979f,site_3,detected,service changed,dhcpv6-relay
2024-11-08 11:20:34_214,5cc513ce-b260-454c-aa09-4731cfecadcf,site_10,fixed,vlan_type,3TEJG7UA4XVG9I84
2024-11-08 11:20:38_907,7388ccaa-c4ae-4d11-b8d7-ecce67dc93bc,site_5,detected,service changed,sftp-client
2024-11-08 11:20:38_907,35683dee-0f7b-48cc-9161-8345a8b88887,site_5,detected,service changed,sshv6
2024-11-08 11:20:40_187,,site_2,error,OLT is down
2024-11-08 11:20:42_886,,site_2,error,OLT is up
2024-11-08 11:20:46_359,b3676a94-fce5-43b6-9633-d920d1ac380d,site_2,detected,service changed,ftp-client
2024-11-08 11:20:53_281,b1772259-b94d-4cc1-8b1c-ae8840c1979f,site_3,fixed,service changed,dhcpv6-relay
2024-11-08 11:20:54_287,7388ccaa-c4ae-4d11-b8d7-ecce67dc93bc,site_5,fixed,service changed,sftp-client
