site,event,timestamp
site_2,unregistered JFL8NQVU6EJ5Z3UU,2024-07-23 11:37:19,324
site_2,unregistered KS9W9BHXMCFE9HC1,2024-07-23 11:37:27,833
site_2,unregistered JFL8NQVU6EJ5Z3UU,2024-07-23 11:37:27,833
site_1,unregistered IYN716WT1253JYDW,2024-07-23 11:37:30,508
site_2,registered JFL8NQVU6EJ5Z3UU,2024-07-23 11:37:33,419
site_1,unregistered IYN716WT1253JYDW,2024-07-23 11:37:36,121
site_2,unregistered KS9W9BHXMCFE9HC1,2024-07-23 11:37:36,298
site_2,unregistered D8CHCJSBITF0YEG4,2024-07-23 11:37:36,298
site_1,unregistered IYN716WT1253JYDW,2024-07-23 11:37:41,710
site_2,registered KS9W9BHXMCFE9HC1,2024-07-23 11:37:41,980
site_1,registered IYN716WT1253JYDW,2024-07-23 11:37:44,615
site_2,unregistered D8CHCJSBITF0YEG4,2024-07-23 11:37:44,901
site_1,unregistered WSSVD12MWAUFM1M5,2024-07-23 11:37:47,340
site_2,registered D8CHCJSBITF0YEG4,2024-07-23 11:37:50,505
site_1,unregistered WSSVD12MWAUFM1M5,2024-07-23 11:37:53,268
site_1,registered WSSVD12MWAUFM1M5,2024-07-23 11:38:01,628
site_2,unregistered 5XNBB5JLD78MDCTG,2024-07-23 11:38:11,103
site_2,unregistered 5XNBB5JLD78MDCTG,2024-07-23 11:38:19,558
site_2,registered 5XNBB5JLD78MDCTG,2024-07-23 11:38:25,303
site_2,unregistered 4CK1XKAJ0EDB2EDG,2024-07-23 11:38:27,944
site_1,OLT not responding,2024-07-23 11:38:32,766
site_2,unregistered 4CK1XKAJ0EDB2EDG,2024-07-23 11:38:36,477
site_1,OLT up,2024-07-23 11:38:39,279
site_2,unregistered X5CO7IRKUYINQFP4,2024-07-23 11:38:53,171
site_2,unregistered X5CO7IRKUYINQFP4,2024-07-23 11:39:01,636
site_2,registered X5CO7IRKUYINQFP4,2024-07-23 11:39:07,154
site_1,unregistered 0W44ZGCC8P7CN84X,2024-07-23 11:39:31,681
site_1,unregistered 0W44ZGCC8P7CN84X,2024-07-23 11:39:37,299
site_1,registered 0W44ZGCC8P7CN84X,2024-07-23 11:39:45,642
site_2,unregistered BYT44JV5ZZCMALNS,2024-07-23 11:40:17,022
site_2,unregistered BYT44JV5ZZCMALNS,2024-07-23 11:40:25,381
site_1,unregistered HW888HTMZL5QT0KC,2024-07-23 11:40:27,640
site_2,registered BYT44JV5ZZCMALNS,2024-07-23 11:40:31,169
site_1,unregistered HW888HTMZL5QT0KC,2024-07-23 11:40:33,242
site_1,registered HW888HTMZL5QT0KC,2024-07-23 11:40:41,696
site_2,unregistered 6LMYHQZTVDX65JIS,2024-07-23 11:40:42,240
site_1,unregistered B1WXUZQO6T9PI261,2024-07-23 11:40:49,993
site_2,unregistered 6LMYHQZTVDX65JIS,2024-07-23 11:40:50,613
site_1,unregistered H3YMLKPTK5L85A7N,2024-07-23 11:40:55,579
site_1,unregistered B1WXUZQO6T9PI261,2024-07-23 11:40:55,579
site_2,registered 6LMYHQZTVDX65JIS,2024-07-23 11:40:56,412
site_1,unregistered H3YMLKPTK5L85A7N,2024-07-23 11:41:01,158
site_1,unregistered B1WXUZQO6T9PI261,2024-07-23 11:41:01,158
site_1,registered B1WXUZQO6T9PI261,2024-07-23 11:41:04,034
site_1,unregistered H3YMLKPTK5L85A7N,2024-07-23 11:41:06,673
site_1,registered H3YMLKPTK5L85A7N,2024-07-23 11:41:09,630
site_1,unregistered VLAAEYTXDPCF3E1C,2024-07-23 11:41:34,450
site_1,unregistered VLAAEYTXDPCF3E1C,2024-07-23 11:41:40,058
site_1,registered VLAAEYTXDPCF3E1C,2024-07-23 11:41:48,447
site_2,unregistered QDO2M3K2FB7LG5OQ,2024-07-23 11:41:49,021
site_1,unregistered 9WBTJ3AQKKCKZ73O,2024-07-23 11:41:56,917
site_2,unregistered QDO2M3K2FB7LG5OQ,2024-07-23 11:41:57,488
site_1,unregistered 9WBTJ3AQKKCKZ73O,2024-07-23 11:42:02,513
site_2,registered QDO2M3K2FB7LG5OQ,2024-07-23 11:42:03,144
site_2,unregistered 2A27JUQOVKUL5KZ7,2024-07-23 11:42:05,877
site_1,registered 9WBTJ3AQKKCKZ73O,2024-07-23 11:42:11,073
site_2,unregistered 2A27JUQOVKUL5KZ7,2024-07-23 11:42:14,314
site_2,registered 2A27JUQOVKUL5KZ7,2024-07-23 11:42:20,091
site_2,unregistered DOQAVX9CMACB5ZWT,2024-07-23 11:42:22,619
site_2,unregistered DOQAVX9CMACB5ZWT,2024-07-23 11:42:31,200
site_2,unregistered LN1JMLTLV5K1IURX,2024-07-23 11:42:31,200
site_2,registered DOQAVX9CMACB5ZWT,2024-07-23 11:42:36,758
site_2,unregistered LN1JMLTLV5K1IURX,2024-07-23 11:42:39,580
site_2,registered LN1JMLTLV5K1IURX,2024-07-23 11:42:45,346
site_2,unregistered 96EX932G12SIJOBW,2024-07-23 11:42:56,304
site_2,unregistered 96EX932G12SIJOBW,2024-07-23 11:43:04,617
site_2,registered 96EX932G12SIJOBW,2024-07-23 11:43:10,392
site_1,unregistered WEO3RGB62FL7QNA4,2024-07-23 11:43:54,323
site_1,unregistered WEO3RGB62FL7QNA4,2024-07-23 11:43:59,887
site_1,registered WEO3RGB62FL7QNA4,2024-07-23 11:44:08,353
