site,event,timestamp
site_3,unregistered XTA48C71IVX8JZC9,2024-07-24 16:27:30,912
site_3,unregistered XTA48C71IVX8JZC9,2024-07-24 16:27:36,516
site_3,registered XTA48C71IVX8JZC9,2024-07-24 16:27:45,540
site_3,unregistered N54TP8PI17KZMCP9,2024-07-24 16:28:44,142
site_3,unregistered N54TP8PI17KZMCP9,2024-07-24 16:28:49,712
site_2,unregistered TARWEEH8XAP8F6N7,2024-07-24 16:28:55,633
site_3,registered N54TP8PI17KZMCP9,2024-07-24 16:28:58,125
site_2,unregistered TARWEEH8XAP8F6N7,2024-07-24 16:29:04,460
site_2,registered TARWEEH8XAP8F6N7,2024-07-24 16:29:10,121
site_1,unregistered TRI0UQDMR3WDJ406,2024-07-24 16:29:25,737
site_1,unregistered TRI0UQDMR3WDJ406,2024-07-24 16:29:31,336
site_1,unregistered TRI0UQDMR3WDJ406,2024-07-24 16:29:36,934
site_1,registered TRI0UQDMR3WDJ406,2024-07-24 16:29:39,945
site_4,unregistered VNMF47ALSZF6146P,2024-07-24 16:29:44,976
site_4,unregistered VNMF47ALSZF6146P,2024-07-24 16:29:50,686
site_4,registered VNMF47ALSZF6146P,2024-07-24 16:29:59,328
site_1,unregistered WEO3RGB62FL7QNA4,2024-07-24 16:30:16,519
site_1,unregistered WEO3RGB62FL7QNA4,2024-07-24 16:30:22,137
site_2,unregistered TMNZM162QH953UWW,2024-07-24 16:30:30,443
site_1,registered WEO3RGB62FL7QNA4,2024-07-24 16:30:30,545
site_4,unregistered 9WJEHOGUCFAMVUGS,2024-07-24 16:30:35,526
site_2,unregistered TMNZM162QH953UWW,2024-07-24 16:30:38,901
site_4,unregistered 9WJEHOGUCFAMVUGS,2024-07-24 16:30:41,186
site_2,registered TMNZM162QH953UWW,2024-07-24 16:30:44,566
site_4,registered 9WJEHOGUCFAMVUGS,2024-07-24 16:30:49,500
site_4,unregistered GQ7ESRHJQHTO0MRU,2024-07-24 16:31:21,069
site_4,unregistered GQ7ESRHJQHTO0MRU,2024-07-24 16:31:26,699
site_4,registered GQ7ESRHJQHTO0MRU,2024-07-24 16:31:35,152
site_2,unregistered 2AFWTY0JPLJQ0H9X,2024-07-24 16:32:38,799
site_5,unregistered 3XTZ38MH8L61TKYW,2024-07-24 16:32:44,911
site_2,unregistered 2AFWTY0JPLJQ0H9X,2024-07-24 16:32:47,232
site_2,registered 2AFWTY0JPLJQ0H9X,2024-07-24 16:32:52,923
site_5,registered 3XTZ38MH8L61TKYW,2024-07-24 16:32:59,433
site_4,unregistered CL5FC604RZ4JW5C9,2024-07-24 16:33:08,043
site_4,unregistered CL5FC604RZ4JW5C9,2024-07-24 16:33:13,690
site_5,unregistered QKAWYM2CWIRO4S1T,2024-07-24 16:33:19,009
site_4,registered CL5FC604RZ4JW5C9,2024-07-24 16:33:22,060
site_5,unregistered QKAWYM2CWIRO4S1T,2024-07-24 16:33:30,575
site_5,registered QKAWYM2CWIRO4S1T,2024-07-24 16:33:33,126
site_1,OLT not responding,2024-07-24 16:33:59,555
site_1,OLT up,2024-07-24 16:34:00,115
site_5,unregistered EA6B3H5R71GBTCEL,2024-07-24 16:34:39,845
site_4,unregistered KEZSU2KJC2TMCGUN,2024-07-24 16:34:50,098
site_5,unregistered EA6B3H5R71GBTCEL,2024-07-24 16:34:51,455
site_5,registered EA6B3H5R71GBTCEL,2024-07-24 16:34:54,175
site_4,unregistered KEZSU2KJC2TMCGUN,2024-07-24 16:34:55,685
site_4,registered KEZSU2KJC2TMCGUN,2024-07-24 16:35:04,152
site_2,unregistered SRUO66NRI83DMYO2,2024-07-24 16:35:20,836
site_2,unregistered SRUO66NRI83DMYO2,2024-07-24 16:35:29,252
site_2,registered SRUO66NRI83DMYO2,2024-07-24 16:35:34,930
site_4,unregistered 2E8TQCD6FG9NUMKR,2024-07-24 16:35:46,121
site_4,unregistered 2E8TQCD6FG9NUMKR,2024-07-24 16:35:51,669
site_4,registered 2E8TQCD6FG9NUMKR,2024-07-24 16:36:00,250
site_1,unregistered 1EOVVLVUSKP2A3F0,2024-07-24 16:36:01,802
site_1,unregistered 1EOVVLVUSKP2A3F0,2024-07-24 16:36:07,323
site_1,registered 1EOVVLVUSKP2A3F0,2024-07-24 16:36:16,096
site_3,unregistered KOMQ5G91BCYXJYTH,2024-07-24 16:36:16,347
site_2,unregistered LN1JMLTLV5K1IURX,2024-07-24 16:36:20,230
site_3,unregistered KOMQ5G91BCYXJYTH,2024-07-24 16:36:21,927
site_2,unregistered LN1JMLTLV5K1IURX,2024-07-24 16:36:28,632
site_3,registered KOMQ5G91BCYXJYTH,2024-07-24 16:36:30,463
site_2,registered LN1JMLTLV5K1IURX,2024-07-24 16:36:34,375
site_4,unregistered ZVQ520JM54EPY2YS,2024-07-24 16:36:53,583
site_4,unregistered ZVQ520JM54EPY2YS,2024-07-24 16:36:59,169
site_4,unregistered ZVQ520JM54EPY2YS,2024-07-24 16:37:05,019
site_4,registered ZVQ520JM54EPY2YS,2024-07-24 16:37:07,768
site_5,unregistered 6CXH02J732J0TE9G,2024-07-24 16:37:31,329
site_5,unregistered 6CXH02J732J0TE9G,2024-07-24 16:37:42,584
site_5,registered 6CXH02J732J0TE9G,2024-07-24 16:37:45,527
site_4,unregistered 175BJ5UYV21CASAF,2024-07-24 16:38:23,566
site_4,unregistered 175BJ5UYV21CASAF,2024-07-24 16:38:29,212
site_4,registered 175BJ5UYV21CASAF,2024-07-24 16:38:37,611
site_2,unregistered D30H74RKS4NS0MU7,2024-07-24 16:39:11,024
site_2,unregistered D30H74RKS4NS0MU7,2024-07-24 16:39:19,540
site_2,registered D30H74RKS4NS0MU7,2024-07-24 16:39:25,199
site_3,unregistered 493K7PZJTNNOM1UB,2024-07-24 16:39:33,997
