site,event,timestamp
site_1,unregistered YX1NIJFD91BV3T60,2024-07-23 10:57:53,333
site_1,unregistered YX1NIJFD91BV3T60,2024-07-23 10:57:59,300
site_1,registered YX1NIJFD91BV3T60,2024-07-23 10:58:08,183
site_1,unregistered N3DQG6GYYMWN0EQQ,2024-07-23 10:58:50,303
site_1,unregistered N3DQG6GYYMWN0EQQ,2024-07-23 10:58:55,926
site_1,unregistered N3DQG6GYYMWN0EQQ,2024-07-23 10:59:01,436
site_2,unregistered WZFEXFXEYO4X5EWC,2024-07-23 10:59:01,946
site_1,registered N3DQG6GYYMWN0EQQ,2024-07-23 10:59:04,447
site_2,unregistered WZFEXFXEYO4X5EWC,2024-07-23 10:59:10,311
site_2,registered WZFEXFXEYO4X5EWC,2024-07-23 10:59:16,102
site_1,unregistered TRI0UQDMR3WDJ406,2024-07-23 11:00:02,708
site_1,unregistered 9LGOMO5N6275LLVB,2024-07-23 11:00:02,708
site_1,unregistered TRI0UQDMR3WDJ406,2024-07-23 11:00:08,339
site_1,unregistered 9LGOMO5N6275LLVB,2024-07-23 11:00:08,339
site_1,registered TRI0UQDMR3WDJ406,2024-07-23 11:00:16,731
site_1,registered 9LGOMO5N6275LLVB,2024-07-23 11:00:16,829
site_2,unregistered LSWB1P77XZSHV9BL,2024-07-23 11:00:33,993
site_2,unregistered LSWB1P77XZSHV9BL,2024-07-23 11:00:42,411
site_2,registered LSWB1P77XZSHV9BL,2024-07-23 11:00:48,168
site_2,unregistered 01076ZY1KLI1H62D,2024-07-23 11:00:50,675
site_2,unregistered 01076ZY1KLI1H62D,2024-07-23 11:00:59,154
site_2,registered 01076ZY1KLI1H62D,2024-07-23 11:01:04,766
site_1,unregistered F7JSOXUUV93WFP7P,2024-07-23 11:01:20,852
site_1,unregistered F7JSOXUUV93WFP7P,2024-07-23 11:01:26,410
site_1,registered F7JSOXUUV93WFP7P,2024-07-23 11:01:34,837
site_1,unregistered 94RM5A6HJEY1VJZP,2024-07-23 11:01:54,265
site_1,unregistered 94RM5A6HJEY1VJZP,2024-07-23 11:01:59,801
site_1,unregistered 3K7M72QJJWZ2I81U,2024-07-23 11:01:59,801
site_1,unregistered 94RM5A6HJEY1VJZP,2024-07-23 11:02:05,385
site_1,unregistered 3K7M72QJJWZ2I81U,2024-07-23 11:02:05,385
site_1,registered 94RM5A6HJEY1VJZP,2024-07-23 11:02:08,282
site_1,registered 3K7M72QJJWZ2I81U,2024-07-23 11:02:13,821
site_1,unregistered 41KCJM9EDHV8SJB1,2024-07-23 11:02:38,998
site_1,unregistered 41KCJM9EDHV8SJB1,2024-07-23 11:02:44,639
site_1,registered 41KCJM9EDHV8SJB1,2024-07-23 11:02:53,042
site_2,unregistered F38IG5TCKUK7A99B,2024-07-23 11:02:55,694
