_,Starting chaos monkey,2024-11-06 11:00:48_873
site_2,Unregistering AE0XPTM2EM10LFM4 from site_2,2024-11-06 11:01:03_358
site_3,Changing c vlan for R3BKJVRXLNLFWFBY from site_3,2024-11-06 11:01:12_716
site_2,Changing snmp profile for 8T7LSMG2VYH98QWI from site_2,2024-11-06 11:01:22_991
site_2,Unregistering 8BUO8FXS6MVKMNDV from site_2,2024-11-06 11:01:29_956
site_3,Unregistering PKR7XYKFP14C7D6M from site_3,2024-11-06 11:01:56_655
site_2,Changing vlan type for TAWXLTTYSUBKDCLO from site_2,2024-11-06 11:02:12_035
site_4,Unregistering 7T94PYMC378JM4JO from site_4,2024-11-06 11:02:18_766
site_3,Changing s vlan for ET9K202UZA5MVI8L from site_3,2024-11-06 11:02:24_314
site_4,Changing c vlan for GSI40ZOUFPM3TAOH from site_4,2024-11-06 11:02:32_746
site_4,Unregistering BFK33M29QXOM6FVY from site_4,2024-11-06 11:02:46_920
site_4,Changing s vlan for 9QXWR9Y9KHW4D3PX from site_4,2024-11-06 11:03:02_971
site_1,Unregistering H5RMZ8FVKIRETCAW from site_1,2024-11-06 11:03:04_947
site_3,Changing snmp profile for JJQ9ZJ9I4JVEZIJ6 from site_3,2024-11-06 11:03:14_588
site_4,Changing s vlan for 38G65R1TEP8QXD3V from site_4,2024-11-06 11:03:30_668
site_4,Changing vlan type for QAW29EIB3CAE38TL from site_4,2024-11-06 11:03:33_671
site_3,Changing state of ssh from site_3,2024-11-06 11:03:37_205
site_4,Changing gemport for 4OARKRBEMB4VWLOO from site_4,2024-11-06 11:03:56_483
site_3,Changing s vlan for 79OGTENY98L3SGI7 from site_3,2024-11-06 11:03:59_221
site_2,Changing gemport for 34W4PGB3WZ68WDHQ from site_2,2024-11-06 11:04:10_864
site_4,Changing c vlan for WR6ZNFIT6Q2K4LMK from site_4,2024-11-06 11:04:14_049
site_1,Changing state of portal from site_1,2024-11-06 11:04:18_515
site_3,Changing state of ntp from site_3,2024-11-06 11:04:22_157
site_4,Changing state of snmp from site_4,2024-11-06 11:04:22_726
site_4,Changing c vlan for OVN3L6OGTLH34A7I from site_4,2024-11-06 11:04:31_100
site_4,Changing gemport for ET5TP39GE79I9L57 from site_4,2024-11-06 11:04:46_485
site_1,Changing snmp profile for CH24QOTRI1ZXI1H1 from site_1,2024-11-06 11:04:47_283
site_3,Changing snmp profile for 0FOH0RWQZ6DWWT6T from site_3,2024-11-06 11:05:10_695
site_2,Changing s vlan for WDD3TSRHEQFE6V3I from site_2,2024-11-06 11:05:14_156
site_4,Changing gemport for 8THB46WYPRSB7UNU from site_4,2024-11-06 11:05:23_176
site_3,Changing state of ftp-client from site_3,2024-11-06 11:05:37_700
site_2,Changing c vlan for RQU1HY8S8PX9O1YR from site_2,2024-11-06 11:05:49_325
site_2,Changing snmp profile for FTJMQ5M1H0RH2XOC from site_2,2024-11-06 11:06:17_398
site_4,Changing state of ntp from site_4,2024-11-06 11:06:32_203
site_2,Changing snmp profile for E41FYJNMFLBJL0Q1 from site_2,2024-11-06 11:06:38_433
