_,Starting chaos monkey,2024-11-06 12:37:15_162
site_4,Changing gemport for XYG4AOLEFNDOTJ32 from site_4,2024-11-06 12:37:19_548
site_2,Changing s vlan for Q8OIM4GGACWSY7BL from site_2,2024-11-06 12:37:27_440
site_4,Changing c vlan for QDHLF03IEWO1ZTJX from site_4,2024-11-06 12:37:30_487
site_4,Changing state of radius from site_4,2024-11-06 12:37:32_026
site_1,Changing vlan type for SC6ECQWPC85TL5LV from site_1,2024-11-06 12:37:44_032
site_2,Changing vlan type for 21MVRWHRNA3L84RV from site_2,2024-11-06 12:37:52_312
site_3,Changing s vlan for 8T7LSMG2VYH98QWI from site_3,2024-11-06 12:38:38_069
site_3,Changing gemport for 43HGQMUAFTHVK0VA from site_3,2024-11-06 12:38:43_421
site_3,Changing snmp profile for I958RU0D26SJF2NX from site_3,2024-11-06 12:38:45_568
site_3,Changing gemport for F4PXII88BLJGNY4Y from site_3,2024-11-06 12:38:47_882
site_2,Changing state of mqtt from site_2,2024-11-06 12:38:57_953
site_2,Changing c vlan for 58R5W397XU8HS41V from site_2,2024-11-06 12:39:08_091
site_3,Changing vlan type for 873PNXIE3SRUAF5Z from site_3,2024-11-06 12:39:16_140
site_1,Changing gemport for 76869PLE5CZD2H4F from site_1,2024-11-06 12:39:21_010
site_3,Changing snmp profile for BFK33M29QXOM6FVY from site_3,2024-11-06 12:39:33_449
site_2,Changing gemport for 4FZFRSMK8CZR6BEU from site_2,2024-11-06 12:39:44_649
site_4,Changing c vlan for IH7EROIH34JN28EI from site_4,2024-11-06 12:39:47_373
site_1,Changing vlan type for U7SLQLYJN9Y2WZ0M from site_1,2024-11-06 12:39:48_717
site_1,Changing gemport for S4CJBPF0EAZJ6OMP from site_1,2024-11-06 12:39:53_676
site_1,Changing c vlan for NJ1EBV43TZW01W1U from site_1,2024-11-06 12:39:56_533
site_4,Changing gemport for 1P2SNH3DYDWTL7J9 from site_4,2024-11-06 12:40:04_116
site_4,Unregistering FTJMQ5M1H0RH2XOC from site_4,2024-11-06 12:40:08_734
site_3,Unregistering B8WDT6XTWWNWI0SM from site_3,2024-11-06 12:40:42_381
site_2,Changing vlan type for WDD3TSRHEQFE6V3I from site_2,2024-11-06 12:40:43_673
site_3,Changing vlan type for 43HGQMUAFTHVK0VA from site_3,2024-11-06 12:40:57_988
site_3,Changing gemport for 0FOH0RWQZ6DWWT6T from site_3,2024-11-06 12:41:03_592
site_4,Changing vlan type for 1KJ82165TW6NLI5A from site_4,2024-11-06 12:41:07_633
site_4,Changing gemport for CIJAEGITNGRXKDZ7 from site_4,2024-11-06 12:41:12_055
site_2,Unregistering HDXV0VZHUGQMMWSB from site_2,2024-11-06 12:41:14_452
site_3,Changing snmp profile for K416ZV9BQV5JFAGN from site_3,2024-11-06 12:41:18_277
site_4,Changing vlan type for JPOM3C8HJDMKPN64 from site_4,2024-11-06 12:41:23_636
site_3,Changing c vlan for BXIJ6NCTYKI014O2 from site_3,2024-11-06 12:41:26_047
site_4,Changing c vlan for 79OGTENY98L3SGI7 from site_4,2024-11-06 12:41:34_825
site_2,Changing c vlan for XSB4ZRBFOR4GLWLV from site_2,2024-11-06 12:41:41_201
site_2,Changing s vlan for 8OWNG3RI3FCU0ZMI from site_2,2024-11-06 12:41:45_080
site_2,Changing snmp profile for CH24QOTRI1ZXI1H1 from site_2,2024-11-06 12:41:53_970
site_3,Changing state of snmpv6 from site_3,2024-11-06 12:41:57_800
site_4,Changing snmp profile for 9QXWR9Y9KHW4D3PX from site_4,2024-11-06 12:42:10_420
