_,Starting chaos monkey,2024-11-06 13:41:43_743
site_1,Changing gemport for RKZ75Z7Q3L0G3UPU from site_1,2024-11-06 13:42:10_638
site_4,Changing vlan type for HFAR53QO9ST7FC78 from site_4,2024-11-06 13:42:27_705
site_2,Changing snmp profile for 8SSQS72SPOICC5NP from site_2,2024-11-06 13:42:34_237
site_4,Changing snmp profile for 6TJZ0D5D72S2334M from site_4,2024-11-06 13:43:02_178
site_5,Changing s vlan for AA4108YJ2FW0QHTE from site_5,2024-11-06 13:43:06_147
site_2,Changing c vlan for ZV7DSXC60XNDTJV8 from site_2,2024-11-06 13:43:06_604
site_2,Changing snmp profile for 1UESW8NWMML0R5UA from site_2,2024-11-06 13:43:09_765
site_5,Changing s vlan for 29BLU4C1SYNFT8TI from site_5,2024-11-06 13:43:13_171
site_1,Changing s vlan for 06O04CIJ94B8213Q from site_1,2024-11-06 13:43:19_632
site_4,Changing c vlan for 3TWCCJB1YKXXVN9Q from site_4,2024-11-06 13:43:37_723
site_3,Changing vlan type for 7NGO1X0CBWV8W1J1 from site_3,2024-11-06 13:43:38_775
site_5,Changing c vlan for LC27SN3ETF0OLYZX from site_5,2024-11-06 13:43:47_892
site_1,Changing s vlan for USDECEHZ7OURLG7K from site_1,2024-11-06 13:44:02_566
site_5,Changing s vlan for PHO1N6T5J2ZGFB02 from site_5,2024-11-06 13:44:06_566
site_2,Changing c vlan for 8FRFYSOWKZ7HTZT9 from site_2,2024-11-06 13:44:11_680
site_4,Changing c vlan for 7RWQOI5KFGXZSO3N from site_4,2024-11-06 13:44:14_500
site_3,Changing vlan type for MCOI13795VUAIRRH from site_3,2024-11-06 13:44:23_408
site_4,Changing snmp profile for NSV909W9JX53CHV8 from site_4,2024-11-06 13:44:28_323
site_4,Changing c vlan for 74OXX9R08YQLATPM from site_4,2024-11-06 13:44:33_780
site_1,Changing c vlan for NSV909W9JX53CHV8 from site_1,2024-11-06 13:44:41_163
site_2,Changing snmp profile for W75MJOXCHMNXMONP from site_2,2024-11-06 13:44:57_222
