min_connection,max_connection,avg_connection,min_send_command,max_send_command,avg_send_command,min_disconnect,max_disconnect,avg_disconnect
10.06530820900025,10.065428508999958,10.065368359000104,0.08107520000021395,0.08124980000002324,0.0811625000001186,0.04667380000000776,0.047336100000393344,0.04700495000020055
10.061876997000127,10.061898896999992,10.06188794700006,0.08125260099996012,0.08149530099990443,0.08137395099993228,0.04653670100015006,0.047211100999902555,0.04687390100002631
10.061871076999978,10.062492476999978,10.062181776999978,0.08076660300002914,0.0809447030001138,0.08085565300007147,0.04767070100024284,0.04885400099965409,0.04826235099994847
10.068064738999965,10.07739503799985,10.072729888499907,0.07093479800005298,0.08086119800009328,0.07589799800007313,0.047761697999703756,0.048327698999855784,0.04804469849977977
10.067459592999967,10.068178392999926,10.067818992999946,0.08075880000023972,0.08115790000010747,0.0809583500001736,0.047067599999991216,0.047215899999628164,0.04714174999980969
10.059651615999883,10.069434116000139,10.06454286600001,0.0809556999997767,0.08111319999989064,0.08103444999983367,0.04773960000011357,0.04830579999998008,0.048022700000046825
10.061007360000076,10.061496560000705,10.06125196000039,0.08090569900014088,0.08100439900044876,0.08095504900029482,0.047317999999904714,0.04819580000003043,0.04775689999996757
10.067621574999976,10.068152474999806,10.06788702499989,0.071282699999756,0.0808670999995229,0.07607489999963946,0.04682739999952901,0.04779320000034204,0.04731029999993552
10.064460589999726,10.065140289999363,10.064800439999544,0.08084650000000693,0.08093710000048304,0.08089180000024498,0.0473024009997971,0.048081901000841754,0.04769215100031943
10.067417386999296,10.077400586999829,10.072408986999562,0.07081239899980574,0.0810490989997561,0.07593074899978092,0.0477019999998447,0.047800500000448665,0.04775125000014668
10.066392190999977,10.066713091000565,10.066552641000271,0.08063280100031989,0.0811740010003632,0.08090340100034155,0.04718419999971957,0.04771019999952841,0.04744719999962399
10.062438425000437,10.062876324999706,10.062657375000072,0.08067189999928814,0.08123299999988376,0.08095244999958595,0.04692759999943519,0.047506800000519434,0.04721719999997731
10.063318615999378,10.064395516000332,10.063857065999855,0.08087520099979884,0.08090810099929513,0.08089165099954698,0.04746700099985901,0.04855420100011543,0.04801060099998722
10.059967191999931,10.060567691999495,10.060267441999713,0.07139889999962179,0.08085669999945821,0.07612779999954,0.04650550000042131,0.04775150000023132,0.04712850000032631
10.062031078000473,10.062308677999681,10.062169878000077,0.08090309999988676,0.08143410000047879,0.08116860000018278,0.046369000000595406,0.05695449999984703,0.05166175000022122
10.063066016000448,10.06396231599956,10.063514166000004,0.0717741999997088,0.08102099999996426,0.07639759999983653,0.048057100000733044,0.05705779999971128,0.05255745000022216
10.067650094999408,10.068779196000833,10.06821464550012,0.0711063099988678,0.08095311099896207,0.07602971049891494,0.04672790599943255,0.057777907999479794,0.05225290699945617
10.05864391400064,10.068455614000413,10.063549764000527,0.07136770100078138,0.08087750100094127,0.07612260100086132,0.048289301001204876,0.057369901000129175,0.052829601000667026
10.05953521900119,10.069147018999502,10.064341119000346,0.07103650000135531,0.0808738000014273,0.0759551500013913,0.04738720000023022,0.04773879999993369,0.047563000000081956
10.069861302999925,10.070337602999643,10.070099452999784,0.08091590100048052,0.08095450099972368,0.0809352010001021,0.0577845999996498,0.05861899999945308,0.05820179999955144
10.069269159999749,10.069323959998655,10.069296559999202,0.08069209999848681,0.08124810000117577,0.08097009999983129,0.046277000999907614,0.056948601000840426,0.05161280100037402
10.062318276999576,10.072024777000479,10.067171527000028,0.08083510600044974,0.08091000499916845,0.0808725554998091,0.04772030300046026,0.04822600299849,0.04797315299947513
10.064848674999666,10.074550676001309,10.069699675500488,0.07095890100026736,0.08100959999865154,0.07598425049945945,0.047737499999129795,0.0483563999987382,0.048046949998934
10.05947449300038,10.069074992999958,10.064274743000169,0.07102780000059283,0.08091009999952803,0.07596895000006043,0.04741529999955674,0.04783270000007178,0.04762399999981426
10.066566323999723,10.0671429239992,10.066854623999461,0.08092220000071393,0.08123520000117423,0.08107870000094408,0.04715489999944111,0.056547600999692804,0.05185125049956696
10.069251097000233,10.069527297000604,10.069389197000419,0.08075690000077884,0.08126440000160073,0.08101065000118979,0.047142400000666385,0.04788560000088182,0.047514000000774104
10.064350126000136,10.074085526001,10.069217826000568,0.07164680000096268,0.08093559999906574,0.07629120000001421,0.047079600000870414,0.048153600000659935,0.047616600000765175
10.067385448001005,10.06755174799946,10.067468598000232,0.08128810000016529,0.08134000000063679,0.08131405000040104,0.05681790100061335,0.05698360099995625,0.0569007510002848
10.064960984000209,10.065460484000141,10.065210734000175,0.07120790099907026,0.08084100099949865,0.07602445099928445,0.047192300999086,0.048250601001200266,0.047721451000143134
10.064991117998943,10.066150217999166,10.065570667999054,0.07128999999986263,0.08089680000011867,0.07609339999999065,0.046114499999021064,0.047210299999278504,0.046662399999149784
10.06668809599978,10.06724519599993,10.066966645999855,0.0808919999999489,0.08091760000024806,0.08090480000009848,0.047282800000175484,0.047901899999487796,0.04759234999983164
10.066060650000509,10.066224650001459,10.066142650000984,0.08136359700074536,0.08137029700083076,0.08136694700078806,0.04669809799997893,0.05663489800099342,0.05166649800048617
10.059132174999831,10.078851674999896,10.068991924999864,0.08088400100132276,0.0809618010007398,0.08092290100103128,0.04815360099928512,0.04835090099913941,0.048252250999212265
10.068353422000655,10.077657220999754,10.073005321500204,0.07094189700001152,0.08081019699966419,0.07587604699983785,0.04787839799973881,0.04844599799980642,0.048162197999772616
10.06681238999954,10.066889090001496,10.066850740000518,0.08133529999940947,0.08148009999968053,0.081407699999545,0.046619900000223424,0.04703739999968093,0.04682864999995218
