_,Starting chaos monkey,2024-11-19 08:12:29_309
site_5,Changing board state to Standby_active,2024-11-19 08:12:37_832
site_4,Changing voltage for NB7YQVWFST2DAO6A from site_4 to set_high_voltage,2024-11-19 08:12:45_669
site_3,Changing board state to Standby_active,2024-11-19 08:12:49_435
site_3,Changing board state to Standby_failed,2024-11-19 08:12:53_336
site_5,Changing board state to Standby_failed,2024-11-19 08:13:06_744
site_2,Changing board state to Standby_active,2024-11-19 08:13:08_862
site_1,Changing voltage for QCXOU74QLPTMX9OQ from site_1 to set_normal_voltage,2024-11-19 08:13:12_706
site_3,Changing voltage for K6WEGDO6ZO4ALID8 from site_3 to set_low_voltage,2024-11-19 08:13:14_694
site_2,Changing voltage for GICRVHMCAO872ENR from site_2 to set_low_voltage,2024-11-19 08:13:21_846
site_2,Changing voltage for AHH2OD957O0I8T86 from site_2 to set_low_voltage,2024-11-19 08:13:23_782
site_1,Changing board state to Standby_active,2024-11-19 08:13:31_678
site_4,Changing board state to Standby_active,2024-11-19 08:13:34_627
site_3,Changing voltage for X45WDGF3M5SDAIAR from site_3 to set_high_voltage,2024-11-19 08:13:38_537
site_2,Changing board state to Standby_failed,2024-11-19 08:13:41_079
site_4,Changing board state to Standby_failed,2024-11-19 08:13:46_332
site_5,Changing voltage for W75MJOXCHMNXMONP from site_5 to set_high_voltage,2024-11-19 08:14:05_655
site_3,Changing board state to Standby_active,2024-11-19 08:14:09_184
site_1,Changing board state to Standby_failed,2024-11-19 08:14:11_206
site_1,Changing voltage for FGSKCW5B4H45IDWW from site_1 to set_low_voltage,2024-11-19 08:14:17_707
site_1,Changing voltage for K9HRBSU9ADMEUX2V from site_1 to set_normal_voltage,2024-11-19 08:14:44_529
site_3,Changing board state to Standby_failed,2024-11-19 08:14:52_319
site_1,Changing board state to Standby_active,2024-11-19 08:14:55_844
site_5,Changing voltage for A5R2UC23VI8612AT from site_5 to set_normal_voltage,2024-11-19 08:15:01_192
site_5,Changing board state to Standby_active,2024-11-19 08:15:01_342
site_4,Changing voltage for 174ZAXSIE5GCU6LL from site_4 to set_high_voltage,2024-11-19 08:15:11_582
site_5,Changing board state to Standby_failed,2024-11-19 08:15:14_088
site_3,Changing voltage for W4DO8BQGVAXLC27U from site_3 to set_high_voltage,2024-11-19 08:15:27_872
site_4,Changing voltage for 08M31S39FQEDI1W0 from site_4 to set_low_voltage,2024-11-19 08:15:33_110
site_4,Changing voltage for MGP5FMH3CG9FSRA8 from site_4 to set_normal_voltage,2024-11-19 08:15:35_482
site_3,Changing voltage for G7KK6STEL2PDWGCC from site_3 to set_high_voltage,2024-11-19 08:15:38_071
site_3,Changing board state to Standby_active,2024-11-19 08:15:41_576
site_4,Changing board state to Standby_active,2024-11-19 08:15:50_630
site_4,Changing voltage for 2KLPJ2K3JLZ2NZJ7 from site_4 to set_high_voltage,2024-11-19 08:16:04_435
site_3,Changing voltage for 1G0T0PQYBFGXT1KN from site_3 to set_normal_voltage,2024-11-19 08:16:23_673
site_3,Changing voltage for FUUEK3ZWAH0F4JRB from site_3 to set_high_voltage,2024-11-19 08:16:30_401
site_3,Changing voltage for JAQATJQVRE9CD1TQ from site_3 to set_normal_voltage,2024-11-19 08:16:33_861
site_3,Changing voltage for K7BWYXWIXIBFF2E1 from site_3 to set_high_voltage,2024-11-19 08:16:40_261
site_3,Changing board state to Standby_failed,2024-11-19 08:16:43_205
site_4,Changing board state to Standby_failed,2024-11-19 08:17:03_587
site_1,Changing voltage for JSU8PZZ4B21GXEL7 from site_1 to set_high_voltage,2024-11-19 08:17:17_380
site_3,Changing voltage for 19UYB9QXS1RB15U7 from site_3 to set_high_voltage,2024-11-19 08:17:21_762
site_4,Changing voltage for R7KNZPH67C1DS7RS from site_4 to set_high_voltage,2024-11-19 08:17:24_740
site_4,Changing board state to Standby_active,2024-11-19 08:17:38_144
site_5,Changing voltage for YRDESHFJRSP9YE0I from site_5 to set_high_voltage,2024-11-19 08:17:50_067
site_5,Changing voltage for VDBZ6V497NRLRKOC from site_5 to set_high_voltage,2024-11-19 08:17:56_998
site_4,Shutting down {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 08:18:13_119
site_4,Starting {'username': 'admin', 'password': 'admin', 'port': 9000, 'platform': 'huawei_smartax', 'running': True},2024-11-19 08:18:20_406
site_2,Changing voltage for 2KLPJ2K3JLZ2NZJ7 from site_2 to set_low_voltage,2024-11-19 08:18:23_160
site_4,Changing voltage for YRDESHFJRSP9YE0I from site_4 to set_normal_voltage,2024-11-19 08:18:38_213
site_2,Changing voltage for BHH3LRLMWL9MAB7B from site_2 to set_low_voltage,2024-11-19 08:18:44_425
site_1,Changing board state to Standby_failed,2024-11-19 08:18:48_370
