_,Starting chaos monkey,2024-11-13 09:07:35_757
site_1,Changing board state to Standby_active,2024-11-13 09:07:39_535
site_2,Changing board state to Standby_active,2024-11-13 09:07:41_362
site_1,Changing voltage for RT191611KDOH8J96 from site_1 to set_low_voltage,2024-11-13 09:07:54_261
site_2,Changing voltage for MI9VKRR4L3IUETKF from site_2 to set_low_voltage,2024-11-13 09:08:17_916
site_1,Changing voltage for F9CPRYMHXIWBE7ME from site_1 to set_normal_voltage,2024-11-13 09:08:25_751
site_2,Changing board state to Standby_failed,2024-11-13 09:08:26_706
site_2,Changing voltage for 7POHRXIGBR0ZYKPM from site_2 to set_normal_voltage,2024-11-13 09:08:27_359
site_3,Changing board state to Standby_active,2024-11-13 09:08:32_340
site_1,Changing board state to Standby_failed,2024-11-13 09:08:37_271
site_1,Changing voltage for 5HX753WV40TDNA8Q from site_1 to set_normal_voltage,2024-11-13 09:08:59_513
site_3,Changing board state to Standby_failed,2024-11-13 09:09:02_112
site_2,Changing board state to Standby_active,2024-11-13 09:09:17_089
site_3,Changing voltage for KTT3DWGW5MGWGGO4 from site_3 to set_normal_voltage,2024-11-13 09:09:34_982
site_2,Changing board state to Standby_failed,2024-11-13 09:09:47_141
site_2,Changing voltage for 86DI0Z5I4RBNWQYZ from site_2 to set_normal_voltage,2024-11-13 09:09:49_574
site_1,Changing board state to Standby_active,2024-11-13 09:09:59_472
site_3,Changing board state to Standby_active,2024-11-13 09:10:01_862
site_2,Changing voltage for 7F66TI2GMGB9PBQI from site_2 to set_normal_voltage,2024-11-13 09:10:16_122
site_3,Changing voltage for 3JUBDFOK6L8ZIKL4 from site_3 to set_normal_voltage,2024-11-13 09:10:30_237
site_1,Changing board state to Standby_failed,2024-11-13 09:10:30_960
site_2,Changing board state to Standby_active,2024-11-13 09:10:41_739
site_1,Changing board state to Standby_active,2024-11-13 09:10:56_434
site_3,Changing board state to Standby_failed,2024-11-13 09:11:10_323
site_1,Changing voltage for FV4XG1KYOVMVRCSI from site_1 to set_high_voltage,2024-11-13 09:11:25_162
site_2,Changing board state to Standby_failed,2024-11-13 09:11:30_662
site_1,Changing voltage for RKCWO3948B3020CQ from site_1 to set_low_voltage,2024-11-13 09:11:41_471
site_3,Changing board state to Standby_active,2024-11-13 09:11:47_451
site_2,Changing voltage for SHSCDNLTFPYMWOYT from site_2 to set_normal_voltage,2024-11-13 09:11:53_806
site_1,Changing board state to Standby_failed,2024-11-13 09:12:14_155
site_2,Changing board state to Standby_active,2024-11-13 09:12:15_907
site_1,Changing voltage for NMXHWOPCKWZA4TEY from site_1 to set_normal_voltage,2024-11-13 09:12:20_570
site_2,Changing voltage for SONKSQQ00KMEL4JD from site_2 to set_low_voltage,2024-11-13 09:12:58_735
site_3,Changing voltage for BMLNGP9ZKY5TQJQ2 from site_3 to set_low_voltage,2024-11-13 09:13:16_648
site_2,Changing board state to Standby_failed,2024-11-13 09:13:22_622
site_3,Changing board state to Standby_failed,2024-11-13 09:13:38_095
site_1,Changing board state to Standby_active,2024-11-13 09:13:57_117
site_2,Changing board state to Standby_active,2024-11-13 09:14:39_277
site_1,Changing board state to Standby_failed,2024-11-13 09:14:44_373
site_3,Changing voltage for 43FZIAFB5M3PUM5V from site_3 to set_low_voltage,2024-11-13 09:14:46_999
site_3,Changing voltage for I2OUH8807W0FOKYC from site_3 to set_low_voltage,2024-11-13 09:15:12_631
site_3,Changing voltage for FVUZ6CNMAY5UNPW8 from site_3 to set_high_voltage,2024-11-13 09:15:15_788
site_3,Changing board state to Standby_active,2024-11-13 09:15:16_910
site_2,Changing voltage for HHE56C3K7XV96603 from site_2 to set_low_voltage,2024-11-13 09:15:19_619
site_1,Changing board state to Standby_active,2024-11-13 09:15:22_029
site_3,Changing board state to Standby_failed,2024-11-13 09:15:39_878
site_1,Changing voltage for 7TQI1C3MRLS2K1ZH from site_1 to set_high_voltage,2024-11-13 09:15:44_429
site_3,Changing board state to Standby_active,2024-11-13 09:15:47_707
site_2,Changing voltage for IS20C1PLVXVKNSWB from site_2 to set_low_voltage,2024-11-13 09:15:51_102
site_3,Changing voltage for YN8RMIOOSRVTONX5 from site_3 to set_normal_voltage,2024-11-13 09:15:59_239
site_2,Changing board state to Standby_failed,2024-11-13 09:15:59_669
