CPU time, RAM usage, Time taken
1.490539,12208,3.5168023109436035
1.597728,9524,3.5925450325012207
1.46124,11604,3.479832410812378
1.494863,11564,3.4933831691741943
1.511009,11488,3.5092175006866455
1.471109,13560,3.4866416454315186
1.519935,13416,3.527606248855591
1.553073,11580,3.5496652126312256
1.574658,11592,3.5814456939697266
1.803446,11604,4.820942640304565
1.4714939999999999,11368,3.489776611328125
1.5216839999999998,11564,3.5301945209503174
1.492659,11512,3.5006701946258545
1.5502070000000001,9564,3.555954933166504
1.494167,11576,3.5015556812286377
1.508769,11424,3.537691354751587
1.57873,13416,4.575340986251831
1.4927080000000001,11588,3.520801305770874
1.520601,9500,3.52193284034729
1.495769,9560,3.4943997859954834
1.489191,9556,3.496995449066162
1.4751249999999998,9560,3.4879488945007324
1.500157,11576,3.5084524154663086
1.530428,11572,3.548884391784668
1.493997,9396,3.500697612762451
1.495023,11544,3.50032114982605
1.496055,13560,3.5236241817474365
1.467355,11496,3.4855213165283203
1.467515,11576,3.4988205432891846
1.509176,9500,3.5274975299835205
1.506372,9396,3.5250542163848877
1.5417579999999997,9400,3.540489912033081
1.490603,9568,3.4984734058380127
1.478994,13624,3.490039348602295
1.52168,11512,3.5190727710723877
1.4994830000000001,13412,3.5001728534698486
1.4945330000000001,11528,3.493360757827759
1.5324,11536,3.5356411933898926
1.48904,9484,3.500577688217163
1.4918289999999998,11440,3.5006964206695557
1.508572,13488,3.5059330463409424
1.5054530000000002,13352,3.5269548892974854
1.5049730000000001,9556,3.5035269260406494
1.506945,11568,3.5150325298309326
1.514481,13616,3.513056755065918
1.499183,11472,3.500095844268799
1.509795,11596,3.5184545516967773
1.483485,9396,3.48215389251709
1.475111,9396,3.5075342655181885
1.570657,11504,3.567723274230957
1.523549,9464,3.5317435264587402
1.496258,11460,3.5041332244873047
1.523757,11576,3.5262367725372314
1.4872210000000001,9432,3.485248327255249
1.479776,9400,3.4946720600128174
1.528507,13416,3.542506217956543
1.506016,11528,3.5112922191619873
1.489607,9572,3.489025831222534
1.490501,9564,3.501258611679077
1.477285,11568,3.4943394660949707
1.4990249999999998,9568,3.5070602893829346
1.5072990000000002,11576,3.528212547302246
1.4805069999999998,11596,3.50791335105896
1.486942,13496,3.488177537918091
1.470307,11600,3.480336904525757
1.484823,13484,3.4945003986358643
1.478587,13520,3.4851901531219482
1.498037,11508,3.5258829593658447
1.496556,9568,3.5155222415924072
1.550605,9464,3.5466575622558594
1.488137,11472,3.4859530925750732
1.5100539999999998,9528,3.5076677799224854
1.4886519999999999,13556,3.487332820892334
1.4892419999999997,11408,3.4970269203186035
1.513528,13616,3.5122182369232178
1.490824,11528,3.4929604530334473
1.495534,11576,3.4961953163146973
1.513729,9428,3.521566152572632
1.489092,11440,3.5168912410736084
1.487291,11480,3.5077314376831055
1.495434,13416,3.5217387676239014
1.4800680000000002,11472,3.4879674911499023
1.513735,11572,3.521395683288574
1.488411,9568,3.4928884506225586
1.5268410000000001,11472,3.526538848876953
