CPU time, RAM usage, Time taken
1.208997,11276,3.2170379161834717
1.234226,9144,3.2434844970703125
1.212148,11344,3.2197420597076416
1.206974,11184,3.2256388664245605
1.227431,9208,3.2291502952575684
1.229088,11324,3.2262933254241943
1.213333,11320,3.2106235027313232
1.240878,11316,3.247753381729126
1.2525240000000002,13352,3.249732255935669
1.216376,13324,3.2148802280426025
1.2047970000000001,11272,3.2121124267578125
1.205455,11240,3.2127268314361572
1.191519,13324,3.2141382694244385
1.221003,11320,4.239508628845215
1.2257120000000001,11236,3.2245118618011475
1.22157,11216,3.228973865509033
1.213579,11108,3.2189536094665527
1.2500609999999999,9140,3.2485904693603516
1.276825,11256,3.285280466079712
1.211249,9196,3.2196433544158936
