CPU time, RAM usage, Time taken
1.0402779999999998,9204,3.0638134479522705
1.3065799999999999,13228,6.3219733238220215
1.3582720000000001,9268,3.355755567550659
1.061626,9304,2.063568592071533
1.116854,9272,4.115782022476196
1.1263580000000002,9140,5.144368648529053
1.081533,9244,5.0855817794799805
1.128844,11280,4.145923852920532
1.06014,9240,3.102808713912964
1.102054,9172,4.109896183013916
1.075418,9308,4.0846028327941895
1.52772,11256,3.543826103210449
1.0611220000000001,11216,5.062236547470093
1.0490559999999998,13284,4.073726415634155
1.0822150000000001,9240,6.091696500778198
1.0549810000000002,9248,2.0726399421691895
1.2103549999999998,11268,3.207580327987671
1.071946,11112,2.070020914077759
1.088126,13364,3.0951039791107178
1.0673659999999998,9312,3.0661914348602295
1.042773,11320,2.0621631145477295
1.043199,11148,2.0630414485931396
1.062046,9196,2.065680980682373
1.0762260000000001,9144,3.0861024856567383
1.124235,13300,3.1337709426879883
1.0637159999999999,11296,2.0617334842681885
1.089283,13364,4.099024295806885
1.07029,11280,2.0691895484924316
1.080698,11312,3.0945606231689453
1.0763030000000002,11312,4.113995313644409
1.067731,11280,3.0901355743408203
1.050781,11280,2.0611984729766846
1.055667,13284,2.0646920204162598
1.0772359999999999,9312,4.075937747955322
1.084904,13304,3.0937857627868652
1.044872,11224,3.0644166469573975
1.07068,11148,3.0784194469451904
1.1072920000000002,9268,3.1457345485687256
1.043323,9308,3.0621542930603027
1.0369439999999999,13360,2.0655903816223145
1.056731,11112,4.078062295913696
1.064487,11280,2.062847375869751
1.045153,9196,2.0591847896575928
1.093564,11152,5.094507694244385
1.089414,13324,5.098808288574219
1.1141180000000002,11256,4.129955053329468
1.08453,9196,4.085517406463623
1.079871,11316,3.0786588191986084
1.059596,13228,3.0586228370666504
1.105206,13196,3.112717390060425
1.078361,9140,3.0775911808013916
1.061889,11312,2.062798500061035
1.0836649999999999,9176,3.084141969680786
1.1183130000000001,11216,3.116842746734619
1.055243,9248,2.0663397312164307
1.076995,9136,3.09135365486145
1.084563,13324,6.085387706756592
1.069643,9144,3.0780067443847656
1.047093,11184,2.0657074451446533
1.064427,13156,2.0626087188720703
1.054673,9272,2.065199375152588
1.066318,9196,2.0655720233917236
1.0644580000000001,11316,2.0694353580474854
1.066752,11224,4.075965404510498
1.0741720000000001,9172,3.0932183265686035
1.076932,9272,3.0771236419677734
1.082462,11576,4.082289695739746
1.079968,13360,4.088046312332153
1.053526,11280,2.062117099761963
1.056819,11204,3.0704898834228516
1.067098,11308,2.0652916431427
1.072926,11260,3.0762062072753906
1.0839539999999999,13260,4.083133220672607
1.067245,9304,2.0657355785369873
1.0762,11256,4.095897912979126
1.05539,11184,3.070746660232544
1.071339,11232,2.0696136951446533
1.062978,11176,4.087711572647095
1.101067,11168,4.101940155029297
1.072663,11312,4.081129550933838
1.080381,11316,3.0932400226593018
1.070246,13196,4.090027809143066
1.084123,11240,4.093368291854858
1.051657,11336,2.0625691413879395
1.068117,11336,3.066861867904663
