CPU time, RAM usage, Time taken
2.6255129999999998,20156,5.626553297042847
2.645344,20280,6.658289432525635
2.621056,22292,5.63227391242981
2.611227,20284,5.616100549697876
2.6218950000000003,22224,5.616043329238892
2.634379,22324,5.6382927894592285
2.588387,18272,5.60801887512207
2.6224670000000003,22160,5.616591691970825
2.605137,22288,5.609749794006348
2.615653,22260,5.639115810394287
2.616676,22332,5.631982803344727
2.6069269999999998,22212,5.650623559951782
2.616701,22156,5.62257719039917
2.613129,22288,5.627812147140503
2.6200119999999996,22248,5.615161180496216
2.619431,22288,5.634917736053467
2.6656869999999997,22320,5.650997877120972
2.601987,22268,5.63477635383606
2.63741,20292,5.631917476654053
2.666207,20188,6.671677112579346
2.644594,22324,5.658026933670044
2.662727,22248,6.686927556991577
2.613003,22288,5.626355409622192
2.611757,20280,6.6272056102752686
2.5881190000000003,20324,5.614229440689087
2.599291,22160,5.617540597915649
2.645687,18236,5.630753040313721
2.604416,22324,5.620922327041626
2.605906,22248,6.648232936859131
2.615725,20276,5.6341872215271
2.5945359999999997,20188,5.619421720504761
2.6091239999999996,20116,6.611343145370483
2.6628,20288,5.67524266242981
2.578183,22324,5.627369403839111
2.56323,18212,5.610269069671631
2.580694,22328,5.627068281173706
2.6156249999999996,22192,5.611212253570557
2.628689,22248,5.625975847244263
2.598453,20288,5.61336612701416
2.589417,22156,5.617287874221802
2.599021,20300,5.624234914779663
2.61445,22268,5.6096906661987305
2.637243,22252,5.632932662963867
2.588456,22328,5.614423036575317
2.592543,20236,5.615881681442261
2.624997,20256,5.629300355911255
2.602484,22196,5.614897012710571
2.589781,22216,5.610629558563232
2.593889,22328,5.599944114685059
2.586214,20324,5.6089794635772705
2.617641,18276,5.6154561042785645
2.593404,22120,5.627897024154663
2.586858,22264,5.61501407623291
2.604355,20128,5.612728118896484
2.6190819999999997,22120,5.648169994354248
2.605438,22320,5.624490022659302
2.605219,20208,5.612362861633301
2.6238080000000004,20252,5.639803171157837
2.617526,22320,5.619686841964722
2.610944,20260,5.63512110710144
2.630248,20324,5.615613698959351
2.597657,22124,5.613496541976929
2.613317,22332,5.621827125549316
2.6367619999999996,20292,5.64018440246582
2.6572129999999996,20280,5.64950156211853
2.652698,20292,6.677534103393555
2.626157,22156,5.622996807098389
2.624584,22288,5.6241490840911865
2.6025349999999996,22320,5.648920059204102
2.5943050000000003,20280,5.611477851867676
2.630743,20256,5.626301288604736
2.6229099999999996,22264,5.638357400894165
2.625984,18208,5.6226372718811035
2.585156,20284,5.61286187171936
2.607961,20208,5.62235164642334
2.6160140000000003,20284,5.627493143081665
2.6663319999999997,20276,7.680981636047363
2.62249,22120,5.618162631988525
2.6719370000000002,20312,7.6758503913879395
2.6380640000000004,18264,5.632115364074707
2.6253130000000002,22156,5.629291534423828
2.663171,20252,5.686260938644409
2.743065,22228,5.7554521560668945
2.673378,22328,5.686903953552246
2.657044,20148,5.673277378082275
2.934766,22216,7.949089288711548
2.814375,22248,6.828245162963867
2.607205,20260,5.6209330558776855
2.7585070000000003,20152,5.774093866348267
2.612616,22160,5.617566347122192
2.6353210000000002,22316,6.683819055557251
2.6037049999999997,20304,5.618893623352051
2.744866,22264,6.79890251159668
2.632347,22192,7.661196708679199
2.6768389999999997,22332,5.6699299812316895
2.608084,18276,5.608139753341675
2.753866,20284,5.758115768432617
2.6403190000000003,22268,6.646039962768555
2.630801,22164,5.648977279663086
2.702373,22228,6.7081382274627686
