CPU time, RAM usage, Time taken
1.32572,13456,3.3260462284088135
1.3245620000000002,11516,3.333244800567627
1.312333,9572,3.3155357837677
1.3336799999999998,11572,3.3479082584381104
1.3155329999999998,11596,3.31411075592041
1.306368,11420,3.3150265216827393
1.324278,9568,3.3423709869384766
1.2930089999999999,9504,3.3099544048309326
1.295802,11408,3.3036746978759766
1.309121,9468,3.306330919265747
1.343648,9532,3.345728874206543
1.328602,9528,3.3363823890686035
1.308491,11500,3.306114435195923
1.3477929999999998,11500,3.3603293895721436
1.302084,9508,3.3112711906433105
1.385072,11580,3.3821709156036377
1.326757,11436,3.3249781131744385
1.338234,11412,3.345574140548706
1.31607,11372,3.318734645843506
1.332815,13456,3.3298916816711426
