CPU time, RAM usage, Time taken
2.010319,9400,4.037681579589844
2.0783180000000003,13588,4.075032472610474
2.003078,13420,4.030157089233398
2.030802,11584,4.067755222320557
2.178255,13548,5.18935489654541
2.027111,9400,4.032533168792725
2.0368950000000003,13560,4.0449018478393555
2.025713,11456,4.0339155197143555
2.048899,11520,4.056013584136963
2.131612,9400,5.141632556915283
2.026743,11580,4.025884628295898
2.082692,9500,4.0888543128967285
2.101371,9564,5.124499797821045
2.048328,9508,4.0467588901519775
2.023449,9496,4.050611734390259
2.0501180000000003,9496,4.045588493347168
2.085342,11540,4.083149194717407
2.057651,11520,4.063759088516235
2.052215,13588,4.058227300643921
2.0556579999999998,13456,4.061776876449585
