CPU time, RAM usage, Time taken
2.1701409999999997,13564,5.186102628707886
2.191802,13584,5.208491563796997
2.101064,11952,4.118901491165161
2.200806,12040,5.220220565795898
2.156583,10024,5.156007766723633
2.1496380000000004,12016,5.1617090702056885
2.289249,9884,5.2960286140441895
2.2993390000000002,11932,5.295663595199585
2.179753,12024,5.183424234390259
2.088101,12092,4.115549325942993
2.237016,12112,6.231947660446167
2.670924,12056,5.677619457244873
2.2332110000000003,10096,5.232346296310425
2.171421,10092,5.168984889984131
2.179254,10096,5.188999176025391
2.122645,9928,5.1340062618255615
2.0959,9960,4.107373237609863
2.129788,12124,4.137124300003052
2.116904,8056,4.12466287612915
2.158933,12108,5.157702922821045
2.126926,11924,4.144359588623047
2.133409,12100,5.1426732540130615
2.144899,12008,5.16308069229126
2.24103,12040,5.247891187667847
2.111492,14080,4.119003057479858
2.089675,10084,4.107752084732056
2.110708,12040,5.139901876449585
2.082222,9924,4.109031677246094
2.093712,10096,4.111926794052124
2.135051,12104,5.153534889221191
2.1017040000000002,9980,4.112184524536133
2.113683,14152,4.12697172164917
2.127443,14044,5.128169536590576
2.1185359999999998,12036,4.117800712585449
2.083857,12072,5.1307783126831055
2.1431150000000003,11996,5.15125584602356
2.105767,10032,4.1139185428619385
2.154246,12096,5.161226272583008
2.094309,14148,4.111699819564819
2.146413,10096,5.164166450500488
2.093054,12120,4.112033843994141
2.0819170000000002,9924,4.114968299865723
2.137903,10088,5.159199476242065
2.08768,11968,4.106442213058472
2.113038,11936,5.140534400939941
2.12594,9888,5.134991884231567
2.136257,11932,5.1348347663879395
2.1536370000000002,12052,5.160259485244751
2.098857,12036,4.127996921539307
2.099147,9924,4.122584342956543
2.074214,12104,4.1243932247161865
2.1411409999999997,11940,5.1384992599487305
2.186954,10032,5.1964898109436035
2.072831,11932,4.101842641830444
2.107402,10088,4.114068984985352
2.124546,9888,5.122931718826294
2.139465,11964,5.146987199783325
2.121018,10096,4.119643211364746
2.15211,14144,5.178247451782227
2.121498,10028,4.123033761978149
2.106149,9980,4.113756895065308
2.159924,10028,5.167889833450317
2.107163,14032,4.105292320251465
2.10989,12000,4.117681980133057
2.089295,9980,4.1049604415893555
2.106944,9924,4.118474245071411
2.075926,12040,4.113874435424805
2.098832,9884,4.116453409194946
2.0998509999999997,12104,4.1172404289245605
2.092305,11932,4.110507011413574
2.101134,7888,4.1121251583099365
2.1417800000000002,11996,5.139896869659424
2.1058660000000002,11936,4.1146697998046875
2.102401,13940,4.100674867630005
2.163594,10032,5.162335395812988
2.1332790000000004,10032,5.140527009963989
2.102147,12040,4.109794616699219
2.098582,13980,4.116502046585083
2.119056,12104,4.127079248428345
2.118747,11932,4.122552871704102
2.145114,10084,5.1450724601745605
2.1239090000000003,10096,5.133530378341675
2.101625,12104,4.109180688858032
2.172345,12064,5.16965913772583
2.1813149999999997,12132,5.181140422821045
2.134186,11988,5.15211033821106
