CPU time, RAM usage, Time taken
1.994054,15596,4.000434875488281
1.9933690000000002,13580,3.999457836151123
2.072112,17672,4.076866626739502
1.990081,17576,4.007906675338745
1.9849029999999999,15704,3.9999284744262695
1.9793310000000002,17748,3.9871034622192383
2.008676,17576,4.015399932861328
2.0512770000000002,17752,4.056101322174072
2.0080169999999997,17576,4.013370752334595
1.9935230000000002,17752,3.9988954067230225
2.0246310000000003,15648,4.040245056152344
2.088513,13688,4.103142499923706
2.043221,15652,4.04997181892395
1.9735870000000002,15548,3.990668773651123
2.041855,15708,4.057909965515137
1.9897859999999998,17744,4.006124019622803
1.981631,17640,4.007799863815308
2.056043,15700,4.062413692474365
1.9601509999999998,17752,3.9754838943481445
1.9896880000000001,17744,4.024197101593018
1.959035,17576,3.9855797290802
2.023455,15500,4.039470195770264
2.0509180000000002,17576,4.075774908065796
1.993261,17744,3.998520612716675
1.999344,15648,4.004597187042236
2.017099,17748,4.032397508621216
2.02106,17740,4.047772407531738
1.998,17752,4.003174066543579
2.057495,18012,4.073618650436401
2.380505,17580,4.386532306671143
1.9877580000000001,13476,4.013444900512695
2.051145,13552,4.058274745941162
2.1010809999999998,17696,4.12711238861084
2.0009840000000003,13624,4.017061471939087
1.9859889999999998,15704,4.001772880554199
2.026077,17756,4.06198525428772
1.9583770000000003,17744,3.9737281799316406
2.124776,17616,4.130858898162842
2.162637,15540,4.1782143115997314
2.03093,17576,4.035295724868774
2.051829,15632,4.07758641242981
1.9788860000000001,17576,3.994955539703369
2.0643659999999997,15632,4.079228401184082
2.093432,17748,4.108480453491211
2.104274,15648,4.110241413116455
2.1330430000000002,17572,4.138723611831665
2.18878,15576,4.204889535903931
2.1414839999999997,17584,4.146587371826172
2.158798,15652,4.18474555015564
2.007454,17688,4.013825178146362
2.02162,13688,4.027119874954224
1.9829469999999998,15576,3.998755693435669
2.085105,17624,4.091059684753418
1.990956,17588,3.9961154460906982
2.018474,15536,4.043757677078247
2.061594,17748,4.08737850189209
2.332273,17672,4.357762098312378
2.082617,13608,4.098097324371338
2.0392710000000003,15648,4.04447340965271
2.014805,17692,4.022098064422607
2.0596699999999997,17616,4.064348459243774
2.1087059999999997,17544,4.113922357559204
2.0310720000000004,15704,4.036438226699829
2.030057,15504,4.035706281661987
2.1067419999999997,13608,4.111550331115723
2.0154460000000003,17688,4.0304155349731445
1.968817,13608,3.9851062297821045
1.964579,15500,3.9711971282958984
2.0329919999999997,17752,4.038428544998169
2.2884619999999996,15700,4.303577184677124
2.041385,15604,4.056957006454468
2.1091729999999997,17688,4.1145195960998535
2.0738499999999997,15700,4.089630365371704
2.0650180000000002,17688,4.069990158081055
1.997208,17576,4.013463973999023
2.0299270000000003,15596,4.035640716552734
2.002656,17744,4.0183210372924805
2.2404699999999997,17972,4.251389265060425
1.9947810000000001,17640,4.0001866817474365
1.9966290000000002,17632,4.003305435180664
2.0622879999999997,15732,4.068222999572754
1.9993800000000002,17676,4.005185842514038
1.9850440000000003,15692,4.001732587814331
2.047833,17636,4.053745269775391
1.994992,17644,4.020714282989502
2.142492,17700,4.14801287651062
1.995752,15648,4.013214349746704
2.102347,17576,4.117998838424683
2.0967279999999997,15712,4.1122353076934814
2.014539,15672,4.029199600219727
2.033802,17692,4.038103818893433
2.188701,17648,4.193419694900513
2.148806,17748,4.154166221618652
2.0202,15668,4.02588963508606
1.9877270000000002,14100,3.9931418895721436
2.019889,17616,4.035498857498169
2.0529349999999997,17540,4.079164266586304
2.063107,13628,4.079126834869385
2.0310840000000003,15648,4.036617755889893
2.110453,15576,4.116415023803711
