_,Starting chaos monkey,2024-11-06 19:19:01_639
site_2,Changing gemport for EPZ4F8XS0YFBIZFN from site_2,2024-11-06 19:19:07_085
site_6,Changing state of mqtt from site_6,2024-11-06 19:19:11_150
site_2,Unregistering V8PBMJ4KERI6GZC8 from site_2,2024-11-06 19:19:16_029
site_1,Changing s vlan for DX56EQLTQDA4OQ68 from site_1,2024-11-06 19:19:16_797
site_2,Changing s vlan for FSJJQ3U3ONSNW18H from site_2,2024-11-06 19:19:20_110
site_1,Changing c vlan for V8PBMJ4KERI6GZC8 from site_1,2024-11-06 19:19:23_218
site_1,Changing c vlan for WQNMXZBBDZ6USB48 from site_1,2024-11-06 19:19:24_529
site_2,Unregistering 6TAXTRKMI9VHBZ4A from site_2,2024-11-06 19:19:31_404
site_2,Changing state of snmpv6 from site_2,2024-11-06 19:19:44_689
site_6,Changing c vlan for CT04UIAMRETQ1465 from site_6,2024-11-06 19:19:48_933
site_1,Unregistering CL91ZJE3JQ98UJSX from site_1,2024-11-06 19:19:51_733
site_1,Changing gemport for NGPU9MKX7FRAACK9 from site_1,2024-11-06 19:20:04_777
site_3,Changing state of trace from site_3,2024-11-06 19:20:07_726
site_6,Changing s vlan for 9GY8A0XGZY7FL12D from site_6,2024-11-06 19:20:10_482
site_3,Changing c vlan for DX56EQLTQDA4OQ68 from site_3,2024-11-06 19:20:13_118
site_6,Changing s vlan for 31UZELURHMCW7Q62 from site_6,2024-11-06 19:20:13_373
site_2,Changing state of dhcpv6-relay from site_2,2024-11-06 19:20:16_963
site_6,Changing snmp profile for 1R27HZZ2VD6UQSPQ from site_6,2024-11-06 19:20:26_771
site_6,Changing snmp profile for 5XTGVQURJUZHONUC from site_6,2024-11-06 19:20:32_701
site_2,Changing state of netconf from site_2,2024-11-06 19:20:32_834
site_2,Changing state of snmpv6 from site_2,2024-11-06 19:20:37_762
site_1,Changing s vlan for 3LR9NHM3DD2VEIPJ from site_1,2024-11-06 19:20:40_365
site_2,Changing vlan type for C0RLC7ZLAR2CT8N9 from site_2,2024-11-06 19:20:55_600
site_6,Changing gemport for EUP4QSF4DSKS6QNP from site_6,2024-11-06 19:20:55_941
site_1,Changing state of telnetv6 from site_1,2024-11-06 19:21:08_540
site_4,Changing s vlan for NANGYNHU5YNHC9UA from site_4,2024-11-06 19:21:09_131
site_4,Changing c vlan for QJDA22HUHD25JYWI from site_4,2024-11-06 19:21:11_685
site_4,Changing s vlan for Y17KNLHTA4AQ9PF5 from site_4,2024-11-06 19:21:14_799
site_6,Changing state of ftp-client from site_6,2024-11-06 19:21:18_863
site_3,Changing state of web-proxy from site_3,2024-11-06 19:21:20_400
site_4,Changing gemport for 1JA66YA9RC9YXJM0 from site_4,2024-11-06 19:21:25_717
site_2,Changing gemport for 744V0AU4CXEEVHCV from site_2,2024-11-06 19:21:26_404
site_6,Changing s vlan for TH0R1UUUWEXD7UMA from site_6,2024-11-06 19:21:39_149
site_4,Changing snmp profile for Q7L79O61P5GDYI79 from site_4,2024-11-06 19:21:41_765
