timestamp,uuid,site,fixed_detected,event_type,sn
2024-12-07 14:24:31_513,8946b0ce-8976-4935-b4b5-a25792a205a2,site_7,fixed,snmp_profile,9MHD1Y0DDAEU59FH
2024-12-07 14:24:41_069,ef529242-a177-416e-a610-547549ba073b,site_7,detected,gemport,5NTA3OQAOLIYYOQU
2024-12-07 14:24:41_116,300e5e73-5e39-43be-bceb-d7c129c37157,site_7,detected,vlan_type,HOEQ8O9SUMPE80JN
2024-12-07 14:24:41_129,e7d5e8ac-93a1-40a9-9a56-5a0ab51718f4,site_7,detected,snmp_profile,WVOY1VTBNO5NHFCS
2024-12-07 14:24:41_130,290bde2f-af46-4dce-a495-dc3694f797fe,site_7,detected,snmp_profile,82Z6FQO2RJFGZIGM
2024-12-07 14:24:44_428,e05c0971-9cfb-4f9c-b1bc-9a34f887f1f4,site_7,detected,service changed,ftp-client
2024-12-07 14:24:44_428,67a2deed-f049-40f1-8ed5-b52e9ec24172,site_7,detected,service changed,mqtt
2024-12-07 14:24:44_428,7ab8dc52-fa8b-4f13-bd51-5aa24056e95e,site_7,detected,service changed,ssh
2024-12-07 14:24:46_565,25b62e67-dbab-4ddd-aa5a-73484fd7eb72,site_7,fixed,unregistered,6GXYS78A4UWT7VT1
2024-12-07 14:24:50_646,4304b53b-acf1-478c-a420-4a213c0580fa,site_6,detected,service changed,portal
2024-12-07 14:24:51_600,d0ce9b01-7be9-4d27-a8be-6e9471fdca96,site_7,fixed,gemport,15FOFS277V2PN76Z
2024-12-07 14:24:58_637,e05c0971-9cfb-4f9c-b1bc-9a34f887f1f4,site_7,fixed,service changed,ftp-client
2024-12-07 14:24:59_641,67a2deed-f049-40f1-8ed5-b52e9ec24172,site_7,fixed,service changed,mqtt
2024-12-07 14:25:00_662,7ab8dc52-fa8b-4f13-bd51-5aa24056e95e,site_7,fixed,service changed,ssh
2024-12-07 14:25:06_681,4304b53b-acf1-478c-a420-4a213c0580fa,site_6,fixed,service changed,portal
2024-12-07 14:25:59_859,ef529242-a177-416e-a610-547549ba073b,site_7,fixed,gemport,5NTA3OQAOLIYYOQU
2024-12-07 14:26:12_639,f6b3d9b4-d951-4e86-9936-7e5604d5ffe8,site_4,detected,service changed,snmpv6
2024-12-07 14:26:26_922,f6b3d9b4-d951-4e86-9936-7e5604d5ffe8,site_4,fixed,service changed,snmpv6
2024-12-07 14:27:05_006,e7d5e8ac-93a1-40a9-9a56-5a0ab51718f4,site_7,fixed,snmp_profile,WVOY1VTBNO5NHFCS
2024-12-07 14:27:08_011,300e5e73-5e39-43be-bceb-d7c129c37157,site_7,fixed,vlan_type,HOEQ8O9SUMPE80JN
2024-12-07 14:27:26_031,290bde2f-af46-4dce-a495-dc3694f797fe,site_7,fixed,snmp_profile,82Z6FQO2RJFGZIGM
2024-12-07 14:27:33_417,9babd212-4426-4deb-b88f-ade6dafeacbc,site_7,detected,gemport,2Y2FYT4UD6OSSCWJ
2024-12-07 14:27:33_418,688c9af2-6f6b-40c4-a6ca-b89bce8ac5f6,site_7,detected,gemport,CNTT208G2DNU5FGI
2024-12-07 14:27:33_432,d3903dc3-2a90-49a9-bc5e-981da35fd962,site_7,detected,c_vlan,2WMGR015ZSEQRWQ4
2024-12-07 14:27:33_443,4e182821-8a1a-45e9-94da-4ec5f0b40b61,site_7,detected,s_vlan,LDD0H2AT9VO9KBSU
2024-12-07 14:27:33_449,39f96614-bc52-4e41-b6b3-ecb99d18b24d,site_7,detected,vlan_type,QRJP94RG06U8UWSC
2024-12-07 14:27:33_455,64c676fb-40eb-4c60-ba59-37827659ab39,site_7,detected,snmp_profile,0BA8DSHOJRTAELSF
2024-12-07 14:27:36_777,db4e7b8f-ef7b-4c53-acea-07a0e64acd3c,site_7,detected,service changed,ftp-client
2024-12-07 14:27:36_777,d9f8627a-9763-4e69-bb36-46571726cb6f,site_7,detected,service changed,ssh
2024-12-07 14:27:50_134,d9f8627a-9763-4e69-bb36-46571726cb6f,site_7,fixed,service changed,ssh
2024-12-07 14:27:51_138,db4e7b8f-ef7b-4c53-acea-07a0e64acd3c,site_7,fixed,service changed,ftp-client
2024-12-07 14:28:19_496,80f63491-be72-498e-b01d-a516077d8fa0,site_5,detected,service changed,web-proxy
2024-12-07 14:28:28_382,8a8af26d-2bf1-4bbc-bff3-229f112b7fdd,site_2,detected,service changed,sftp-client
2024-12-07 14:28:28_382,19ad7827-61da-43ab-b34b-706f23280490,site_2,detected,service changed,ssh
2024-12-07 14:28:28_383,00c17778-862f-48fa-b3a0-7125c7098071,site_2,detected,service changed,telnetv6
2024-12-07 14:28:35_413,80f63491-be72-498e-b01d-a516077d8fa0,site_5,fixed,service changed,web-proxy
2024-12-07 14:28:45_464,8a8af26d-2bf1-4bbc-bff3-229f112b7fdd,site_2,fixed,service changed,sftp-client
2024-12-07 14:28:46_468,19ad7827-61da-43ab-b34b-706f23280490,site_2,fixed,service changed,ssh
2024-12-07 14:28:47_479,00c17778-862f-48fa-b3a0-7125c7098071,site_2,fixed,service changed,telnetv6
2024-12-07 14:29:07_194,6d996f1d-57ff-424a-a889-b1504fa76f88,site_1,detected,service changed,dhcp-relay
2024-12-07 14:29:07_194,c95bef06-77af-46c8-8517-a5ecdf67982f,site_1,detected,service changed,radius
2024-12-07 14:29:14_701,965adcb4-fe43-4cfc-9c91-e049395b8bee,site_6,detected,service changed,capwap
2024-12-07 14:29:16_624,64c676fb-40eb-4c60-ba59-37827659ab39,site_7,fixed,snmp_profile,0BA8DSHOJRTAELSF
2024-12-07 14:29:22_664,c95bef06-77af-46c8-8517-a5ecdf67982f,site_1,fixed,service changed,radius
