_,Starting chaos monkey,2024-11-07 15:26:19_161
site_7,Changing c vlan for NIWU3TOWGFK9JK7X from site_7,2024-11-07 15:26:21_692
site_1,Changing vlan type for 2ALPKUJVA3QV0MUB from site_1,2024-11-07 15:26:24_210
site_8,Unregistering P989KH4GB7C6T7E3 from site_8,2024-11-07 15:26:40_161
site_8,Changing gemport for 8ROGTIOB7ZW0M1ZC from site_8,2024-11-07 15:26:42_190
site_5,Changing snmp profile for 7RGW2OFIJCVAPKST from site_5,2024-11-07 15:26:42_888
site_1,Changing gemport for HASYFDYE8Q5XI1CE from site_1,2024-11-07 15:26:45_688
site_8,Unregistering 3FG8V2YEI9L7O4B8 from site_8,2024-11-07 15:26:54_879
site_1,Unregistering MPCB9J5OE4CW3K31 from site_1,2024-11-07 15:27:00_882
site_3,Unregistering GR9UWLAOGPAJ3OU5 from site_3,2024-11-07 15:27:04_805
site_2,Unregistering JU9CNI8H2I1H2662 from site_2,2024-11-07 15:27:08_072
site_2,Unregistering 7UQLRJ8GUI9J0GY7 from site_2,2024-11-07 15:27:09_514
site_7,Changing s vlan for K7ESV0EKGGQ2AKHL from site_7,2024-11-07 15:27:10_075
site_7,Changing snmp profile for 1MM5EV5FKOIWQ9E0 from site_7,2024-11-07 15:27:17_723
site_4,Changing gemport for DPMJFH1DZ3VN6SCI from site_4,2024-11-07 15:27:24_656
site_2,Changing s vlan for IDDTVL4IZ8A607RB from site_2,2024-11-07 15:27:33_425
site_7,Changing snmp profile for ZD4TR2NKO8VYIYFS from site_7,2024-11-07 15:27:34_339
site_1,Unregistering JTG8XPF6U77LCXEC from site_1,2024-11-07 15:27:35_985
site_7,Changing state of telnetv6 from site_7,2024-11-07 15:27:36_207
site_4,Changing state of dhcp-relay from site_4,2024-11-07 15:27:40_641
site_2,Changing s vlan for XLO8GAXGURDAJFBB from site_2,2024-11-07 15:27:47_045
site_5,Changing state of ssh from site_5,2024-11-07 15:27:50_471
site_8,Changing state of dhcp-relay from site_8,2024-11-07 15:27:51_337
site_3,Changing vlan type for NZS8AUTPJCPJGPLH from site_3,2024-11-07 15:27:55_001
site_4,Changing s vlan for Z6RROEY7T6ULNNE1 from site_4,2024-11-07 15:27:59_314
site_8,Changing vlan type for 8FDQG94HLETQ0KVJ from site_8,2024-11-07 15:28:01_421
site_1,Changing snmp profile for I1J3L4IJV9JUNI7W from site_1,2024-11-07 15:28:11_119
site_5,Changing state of ntp6 from site_5,2024-11-07 15:28:12_764
site_2,Changing gemport for UJA28GAVQNG5GDRQ from site_2,2024-11-07 15:28:15_992
site_6,Changing vlan type for EKOTGLRJZ9XWA3H2 from site_6,2024-11-07 15:28:19_722
site_7,Changing s vlan for BUNR1IXXQRR396F6 from site_7,2024-11-07 15:28:21_922
site_3,Changing gemport for BUNR1IXXQRR396F6 from site_3,2024-11-07 15:28:36_787
site_8,Unregistering DHUQ23HTMJTNXIW0 from site_8,2024-11-07 15:28:38_109
site_3,Changing s vlan for JU9CNI8H2I1H2662 from site_3,2024-11-07 15:28:52_141
site_3,Changing s vlan for 2YSAYRRGXCEOI3UH from site_3,2024-11-07 15:28:57_005
site_7,Unregistering VCSO7HWJXJN1EZOF from site_7,2024-11-07 15:28:58_494
site_7,Changing snmp profile for 6ON8DYUDVC7FYZ92 from site_7,2024-11-07 15:28:59_382
site_4,Changing gemport for 9N3V6D2HMG1TZPYF from site_4,2024-11-07 15:29:11_254
site_5,Changing c vlan for B6RCQNSRXYTMDZFY from site_5,2024-11-07 15:29:17_246
site_6,Changing c vlan for ZD4TR2NKO8VYIYFS from site_6,2024-11-07 15:29:18_584
site_6,Changing gemport for 1HR46F1E0M0J50H7 from site_6,2024-11-07 15:29:23_899
site_8,Changing c vlan for BUNR1IXXQRR396F6 from site_8,2024-11-07 15:29:27_069
