timestamp,uuid,site,fixed_detected,event_type,sn
2024-11-06 17:29:49_323,7578a325-d234-484c-8652-182606c57db8,site_5,detected,service changed,ssh
2024-11-06 17:30:05_045,7578a325-d234-484c-8652-182606c57db8,site_5,fixed,service changed,ssh
2024-11-06 17:32:27_176,cb5b7a31-3bfa-4849-aa5d-ed7c522b2f84,site_1,detected,service changed,telnet
2024-11-06 17:32:45_124,cb5b7a31-3bfa-4849-aa5d-ed7c522b2f84,site_1,fixed,service changed,telnet
2024-11-06 17:32:59_952,df2ab2f8-407f-4328-944a-ecf9ef576879,site_3,detected,service changed,snmp
2024-11-06 17:32:59_952,b752c2dd-f316-4aa2-80ec-879d501aca08,site_3,detected,service changed,web-proxy
2024-11-06 17:33:15_167,df2ab2f8-407f-4328-944a-ecf9ef576879,site_3,fixed,service changed,snmp
2024-11-06 17:33:16_169,b752c2dd-f316-4aa2-80ec-879d501aca08,site_3,fixed,service changed,web-proxy
2024-11-06 17:33:36_923,89823860-5753-45c6-ac0a-c02a521df110,site_5,detected,vlan_type,23FSSXH3A7H9NCUJ
2024-11-06 17:33:36_946,aa043e3e-3237-48a9-bcbc-efb560c56a44,site_5,detected,snmp_profile,YXUE1SWJZY5H8DH3
2024-11-06 17:33:40_207,0ab9c606-b2c9-4085-a7f0-a9a8899a5fc2,site_5,detected,service changed,ssh
2024-11-06 17:33:57_223,0ab9c606-b2c9-4085-a7f0-a9a8899a5fc2,site_5,fixed,service changed,ssh
2024-11-06 17:35:17_997,3ab7b88c-7489-40aa-abf4-a139b11b8638,site_4,detected,service changed,ntp
2024-11-06 17:35:17_998,a9a1224c-61a5-4358-a68e-62569fde5b33,site_4,detected,service changed,ntp6
2024-11-06 17:35:17_998,7e8edf59-ab3d-443f-a24e-c3089784c340,site_4,detected,service changed,trace
2024-11-06 17:35:33_409,3ab7b88c-7489-40aa-abf4-a139b11b8638,site_4,fixed,service changed,ntp
2024-11-06 17:35:33_409,7e8edf59-ab3d-443f-a24e-c3089784c340,site_4,fixed,service changed,trace
2024-11-06 17:35:34_416,a9a1224c-61a5-4358-a68e-62569fde5b33,site_4,fixed,service changed,ntp6
2024-11-06 17:37:28_635,89823860-5753-45c6-ac0a-c02a521df110,site_5,fixed,vlan_type,23FSSXH3A7H9NCUJ
2024-11-06 17:37:31_639,aa043e3e-3237-48a9-bcbc-efb560c56a44,site_5,fixed,snmp_profile,YXUE1SWJZY5H8DH3
2024-11-06 17:37:34_766,59533d0a-e1e1-476b-bbce-b13799e711e3,site_1,detected,service changed,twamp
2024-11-06 17:37:50_661,59533d0a-e1e1-476b-bbce-b13799e711e3,site_1,fixed,service changed,twamp
2024-11-06 17:38:10_752,c5ef2668-69e8-42c6-80f8-823bbfd030fc,site_5,detected,unregistered,NETC70QU8K2CXGAU
2024-11-06 17:38:10_753,11782029-5aed-4c68-897f-fa0f76ac1dba,site_5,detected,unregistered,S143TD1MUQ1NBGRK
2024-11-06 17:38:10_864,41ac2bb2-480f-4803-bbc3-3340ecf373f5,site_5,detected,c_vlan,ITB4VWHF8PZFJQV4
2024-11-06 17:38:10_884,0407f4a8-ad90-44ec-ab86-7b9418f6505d,site_5,detected,s_vlan,FZWC2MZLB3IESWJ2
2024-11-06 17:38:10_905,c1c2ad60-5918-46db-add8-df6b1741e9dc,site_5,detected,vlan_type,2KLPJ2K3JLZ2NZJ7
2024-11-06 17:38:14_081,7bf6e1d1-fbde-4894-b959-0cda5251bf81,site_5,detected,service changed,ssh
2024-11-06 17:38:14_081,7de2c74a-8658-451c-bf24-8ec21eec683d,site_5,detected,service changed,sshv6
2024-11-06 17:38:27_710,25ad7acb-83ed-4004-b920-65354ff955c6,site_3,detected,service changed,ntp6
2024-11-06 17:38:27_710,aa5ded1f-1cb7-4895-83f9-9be86e33f89d,site_3,detected,service changed,web-proxy
2024-11-06 17:38:30_775,7bf6e1d1-fbde-4894-b959-0cda5251bf81,site_5,fixed,service changed,ssh
