timestamp,uuid,site,fixed_detected,event_type,sn
2024-11-03 22:27:09_463,d6c9b849-f21a-4268-8db2-ff2365b0ce05,site_1,detected,service changed,telnet
2024-11-03 22:27:25_338,d6c9b849-f21a-4268-8db2-ff2365b0ce05,site_1,fixed,service changed,telnet
2024-11-03 22:27:39_072,910f9495-907c-4dc5-a8e8-e4b253aa0e92,site_3,detected,s_vlan,ESG3MP8BPNG1GL99
2024-11-03 22:27:42_380,5ce1fabf-ac09-4e0d-96a7-9d3e20c4e4d3,site_3,detected,service changed,dhcpv6-relay
2024-11-03 22:27:59_385,5ce1fabf-ac09-4e0d-96a7-9d3e20c4e4d3,site_3,fixed,service changed,dhcpv6-relay
2024-11-03 22:30:24_568,910f9495-907c-4dc5-a8e8-e4b253aa0e92,site_3,fixed,s_vlan,ESG3MP8BPNG1GL99
2024-11-03 22:32:02_408,08ba2c03-ebaf-4aae-a7af-e7c35441c261,site_1,detected,service changed,radius
2024-11-03 22:32:02_408,81055626-4e74-4332-92c6-38eb165e689c,site_1,detected,service changed,trace
2024-11-03 22:32:06_791,8dd77377-29eb-44e4-9d20-9e16e737db20,site_2,detected,service changed,sftp-client
2024-11-03 22:32:16_638,08ba2c03-ebaf-4aae-a7af-e7c35441c261,site_1,fixed,service changed,radius
2024-11-03 22:32:17_640,81055626-4e74-4332-92c6-38eb165e689c,site_1,fixed,service changed,trace
2024-11-03 22:32:22_646,8dd77377-29eb-44e4-9d20-9e16e737db20,site_2,fixed,service changed,sftp-client
2024-11-03 22:32:57_821,3feb9974-c5f8-41a2-b5d7-2b3051780ae1,site_3,detected,gemport,76IELDRSA61GJ6YD
2024-11-03 22:32:57_822,b5f22a3b-8dd7-4fe7-a556-42b67ef0725a,site_3,detected,gemport,28AQ7ZAD92ZNRRBF
2024-11-03 22:32:57_885,e0155ab2-41f9-4610-8f63-24784bdede30,site_3,detected,s_vlan,YA6W11LDM71JLHKP
2024-11-03 22:32:57_942,e9783a34-ec20-4e9a-b3e9-506e2222d50b,site_3,detected,snmp_profile,SF1KEEF50C1LM3Z8
2024-11-03 22:33:01_239,029da95c-a21e-448d-a1da-1b1c3021f909,site_3,detected,service changed,ssh
2024-11-03 22:33:16_726,029da95c-a21e-448d-a1da-1b1c3021f909,site_3,fixed,service changed,ssh
2024-11-03 22:34:51_022,e9783a34-ec20-4e9a-b3e9-506e2222d50b,site_3,fixed,snmp_profile,SF1KEEF50C1LM3Z8
2024-11-03 22:35:50_866,bc3bff5d-42c7-4571-8fc6-318d1fb7614f,site_2,detected,service changed,sftp-client
2024-11-03 22:36:05_236,bc3bff5d-42c7-4571-8fc6-318d1fb7614f,site_2,fixed,service changed,sftp-client
