timestamp,uuid,site,fixed_detected,event_type,sn
2024-11-07 22:13:57_305,048d075e-7efa-423d-aaaf-0f4216aa79e1,site_7,detected,service changed,ssh
2024-11-07 22:14:08_544,839c01ff-897d-4aae-b225-0cd3a6e094a6,site_9,detected,s_vlan,I7OC5XK64NBHTYX5
2024-11-07 22:14:11_796,d957ce90-b9f8-4e6e-ad10-ed5190c8fc85,site_9,detected,service changed,sftp-client
2024-11-07 22:14:12_179,048d075e-7efa-423d-aaaf-0f4216aa79e1,site_7,fixed,service changed,ssh
2024-11-07 22:14:27_208,d957ce90-b9f8-4e6e-ad10-ed5190c8fc85,site_9,fixed,service changed,sftp-client
2024-11-07 22:14:50_934,552c15b4-ac6a-45f5-b509-1001ab4b094b,site_2,detected,service changed,mqtt
2024-11-07 22:14:50_934,fce7f867-cc50-4618-ae02-109739874527,site_2,detected,service changed,snmp
2024-11-07 22:14:50_934,25fa2e66-1180-46c8-bf50-bf789864dd8b,site_2,detected,service changed,ssh
2024-11-07 22:15:06_293,552c15b4-ac6a-45f5-b509-1001ab4b094b,site_2,fixed,service changed,mqtt
2024-11-07 22:15:07_297,fce7f867-cc50-4618-ae02-109739874527,site_2,fixed,service changed,snmp
2024-11-07 22:15:08_300,25fa2e66-1180-46c8-bf50-bf789864dd8b,site_2,fixed,service changed,ssh
2024-11-07 22:15:58_232,5fd55ee1-129c-4181-8c0d-817868561bb4,site_7,detected,service changed,ssh
2024-11-07 22:16:11_410,5fd55ee1-129c-4181-8c0d-817868561bb4,site_7,fixed,service changed,ssh
2024-11-07 22:16:16_694,ed61dda6-b092-41de-8844-6f40b5c14257,site_8,detected,service changed,ntp6
2024-11-07 22:16:31_487,ed61dda6-b092-41de-8844-6f40b5c14257,site_8,fixed,service changed,ntp6
2024-11-07 22:16:31_764,b450f580-2e33-42c0-abcf-b40c4ded5d1a,site_4,detected,service changed,ntp6
2024-11-07 22:16:49_529,b450f580-2e33-42c0-abcf-b40c4ded5d1a,site_4,fixed,service changed,ntp6
2024-11-07 22:18:01_122,5e95b36e-1b9d-4956-8dc4-9f9dcacb6afb,site_7,detected,service changed,ssh
2024-11-07 22:18:15_664,5e95b36e-1b9d-4956-8dc4-9f9dcacb6afb,site_7,fixed,service changed,ssh
2024-11-07 22:18:17_667,839c01ff-897d-4aae-b225-0cd3a6e094a6,site_9,fixed,s_vlan,I7OC5XK64NBHTYX5
2024-11-07 22:18:35_182,68d573b5-54a6-4de7-a61d-a1fd0f6890df,site_1,detected,service changed,telnet
2024-11-07 22:18:43_369,0f9ea969-40bf-4f14-970c-2bdd4ac876fd,site_9,detected,gemport,POTBK5CX0BQS6X0S
2024-11-07 22:18:43_414,3f1ffae9-13f1-4a48-a3d8-c9e6dc569b90,site_9,detected,s_vlan,8H9K0GN3NNL10CHJ
2024-11-07 22:18:43_465,c5acf9e1-f35b-45e1-b710-27f766b522e7,site_9,detected,snmp_profile,DUC7Y8M7YKYWTI9W
2024-11-07 22:18:46_801,b82ca3a6-068c-4edb-9d5d-be11f3bfdbfa,site_9,detected,service changed,radius
2024-11-07 22:18:46_801,78d5c63d-fa9d-4aee-9390-8870a406a725,site_9,detected,service changed,sftp-client
2024-11-07 22:18:51_750,68d573b5-54a6-4de7-a61d-a1fd0f6890df,site_1,fixed,service changed,telnet
2024-11-07 22:19:03_879,b82ca3a6-068c-4edb-9d5d-be11f3bfdbfa,site_9,fixed,service changed,radius
2024-11-07 22:19:04_030,0058db5b-896c-4476-bf6d-6e0ef87d2dac,site_3,detected,service changed,ftp-client
2024-11-07 22:19:04_882,78d5c63d-fa9d-4aee-9390-8870a406a725,site_9,fixed,service changed,sftp-client
2024-11-07 22:19:13_328,934aa96e-9511-4af0-8115-99ad2eefada9,site_5,detected,service changed,dhcp-relay
2024-11-07 22:19:13_328,2611f568-2986-4881-b02b-95bc469d30c2,site_5,detected,service changed,ntp6
2024-11-07 22:19:22_985,0058db5b-896c-4476-bf6d-6e0ef87d2dac,site_3,fixed,service changed,ftp-client
2024-11-07 22:19:30_044,934aa96e-9511-4af0-8115-99ad2eefada9,site_5,fixed,service changed,dhcp-relay
