_,Starting chaos monkey,2024-11-08 11:43:36_985
site_1,Changing snmp profile for N8HK828KLYTOWXBY from site_1,2024-11-08 11:43:39_975
site_4,Changing state of ssh from site_4,2024-11-08 11:43:44_000
site_10,Changing vlan type for EVWKCTYTU98SV6QL from site_10,2024-11-08 11:43:48_171
site_2,Unregistering KBAB3OQKVPFWQ1GN from site_2,2024-11-08 11:43:51_945
site_10,Changing s vlan for SBYFPX4R771CVMPJ from site_10,2024-11-08 11:43:54_377
site_10,Unregistering KHD9THK5R0Z5J5GU from site_10,2024-11-08 11:43:56_070
site_5,Changing s vlan for SAZVXFK258I4W9WV from site_5,2024-11-08 11:44:00_298
site_9,Changing vlan type for OUJ1UUSVQ3HF4MLG from site_9,2024-11-08 11:44:00_987
site_7,Changing gemport for 1FHCR19LS7V7FNL7 from site_7,2024-11-08 11:44:02_745
site_10,Changing s vlan for 94ATDGJSE4NI9DG1 from site_10,2024-11-08 11:44:04_620
site_10,Changing vlan type for GDVL4RQKYBRQETXY from site_10,2024-11-08 11:44:06_507
site_10,Changing snmp profile for CNA6V09X4ADZMNCT from site_10,2024-11-08 11:44:08_025
site_3,Changing snmp profile for 49B6J0R3X58NVIT1 from site_3,2024-11-08 11:44:13_398
site_9,Changing c vlan for ZJ79VYNTGZHUIGO8 from site_9,2024-11-08 11:44:17_472
site_1,Changing s vlan for ZQYA561615GITY76 from site_1,2024-11-08 11:44:22_121
site_9,Changing vlan type for 58Y4NAJQUSF1P0YI from site_9,2024-11-08 11:44:23_670
site_1,Unregistering JG9IDARQJ3KGAEAF from site_1,2024-11-08 11:44:28_823
site_9,Changing gemport for 19MXIO200NDAP7F8 from site_9,2024-11-08 11:44:30_698
site_6,Changing c vlan for N9YVLQQE29WBE3MV from site_6,2024-11-08 11:44:33_057
site_8,Changing s vlan for AMVSAFUR96D75KHX from site_8,2024-11-08 11:44:33_835
site_6,Unregistering R44KLZFEKLNJIWZ0 from site_6,2024-11-08 11:44:36_192
site_2,Changing vlan type for CN36OTBLQPD4JTCI from site_2,2024-11-08 11:44:38_804
site_10,Changing s vlan for 5VA49J5A6ABJ984E from site_10,2024-11-08 11:44:46_191
site_4,Unregistering 0QVZW1B24Z4C2B0U from site_4,2024-11-08 11:44:48_088
site_4,Changing gemport for VM10N94AF389J3EH from site_4,2024-11-08 11:44:49_649
site_5,Changing gemport for 9IML9NW45OJSZTN1 from site_5,2024-11-08 11:44:50_435
site_3,Changing state of snmp from site_3,2024-11-08 11:44:56_196
site_1,Changing state of dhcpv6-relay from site_1,2024-11-08 11:45:12_310
