timestamp,uuid,site,fixed_detected,event_type,sn
2024-11-07 14:33:11_998,b09f5c98-3b81-4ed5-8454-9cfc2ade0976,site_7,detected,unregistered,XBHRLS2QBE024EMT
2024-11-07 14:33:12_021,a5004d24-7cf9-4f1d-9d40-1fe72d6f84e5,site_7,detected,c_vlan,R17W7TELMHSMJUFT
2024-11-07 14:33:12_056,4e1eb8a6-95b3-406f-8a6e-eb401365912f,site_7,detected,snmp_profile,DNZ50PXV88Q7UNA2
2024-11-07 14:33:12_057,616789af-881d-48b8-952b-f54a145b222b,site_7,detected,snmp_profile,YN5SQ2AXPDO92F6E
2024-11-07 14:33:42_698,684c8ed8-fbee-407c-9f9e-dd8ef338e784,site_5,detected,service changed,ntp6
2024-11-07 14:33:59_710,684c8ed8-fbee-407c-9f9e-dd8ef338e784,site_5,fixed,service changed,ntp6
2024-11-07 14:34:09_455,e0fca4b5-b955-44b6-845d-3381d6f5aa58,site_6,detected,service changed,dhcpv6-relay
2024-11-07 14:34:09_456,d5fcf24a-b400-4cc3-b6af-e48c685cce7e,site_6,detected,service changed,telnetv6
2024-11-07 14:34:09_456,4ffc4ead-27a0-4c0a-98c1-e2f97d2e5c21,site_6,detected,service changed,trace
2024-11-07 14:34:25_810,e0fca4b5-b955-44b6-845d-3381d6f5aa58,site_6,fixed,service changed,dhcpv6-relay
2024-11-07 14:34:26_814,d5fcf24a-b400-4cc3-b6af-e48c685cce7e,site_6,fixed,service changed,telnetv6
2024-11-07 14:34:27_818,4ffc4ead-27a0-4c0a-98c1-e2f97d2e5c21,site_6,fixed,service changed,trace
2024-11-07 14:34:37_847,616789af-881d-48b8-952b-f54a145b222b,site_7,fixed,snmp_profile,YN5SQ2AXPDO92F6E
2024-11-07 14:34:41_857,a5004d24-7cf9-4f1d-9d40-1fe72d6f84e5,site_7,fixed,c_vlan,R17W7TELMHSMJUFT
2024-11-07 14:35:08_773,e7507084-4a03-484a-91f6-0269a10d2040,site_4,detected,service changed,ssh
