timestamp,uuid,site,fixed_detected,event_type,sn
2024-11-07 12:57:39_272,405293e0-f355-4631-8931-1401332290f0,site_7,detected,unregistered,6GXYS78A4UWT7VT1
2024-11-07 12:57:39_307,b21e2086-e6ef-40b5-ac95-af7f8c1fc0ba,site_7,detected,s_vlan,9MHD1Y0DDAEU59FH
2024-11-07 12:58:03_357,1cf96181-c8cc-4267-83af-0060bc74b315,site_5,detected,service changed,radius
2024-11-07 12:58:09_869,c1476450-728c-4a97-889a-166d5236f999,site_2,detected,service changed,ipdr
2024-11-07 12:58:20_782,1cf96181-c8cc-4267-83af-0060bc74b315,site_5,fixed,service changed,radius
2024-11-07 12:58:26_796,c1476450-728c-4a97-889a-166d5236f999,site_2,fixed,service changed,ipdr
2024-11-07 12:59:34_545,b5814e4a-d64a-4479-af67-c4f3b8508aae,site_4,detected,service changed,dhcp-relay
2024-11-07 12:59:41_943,b21e2086-e6ef-40b5-ac95-af7f8c1fc0ba,site_7,fixed,s_vlan,9MHD1Y0DDAEU59FH
2024-11-07 12:59:44_948,405293e0-f355-4631-8931-1401332290f0,site_7,fixed,unregistered,6GXYS78A4UWT7VT1
2024-11-07 12:59:49_956,b5814e4a-d64a-4479-af67-c4f3b8508aae,site_4,fixed,service changed,dhcp-relay
2024-11-07 12:59:57_357,092b47bb-b3a2-49e2-80ed-d430bd2ad7ee,site_7,detected,c_vlan,3EW0CWX46TAPWDZ3
2024-11-07 13:00:00_827,f4f4aa07-b316-41a1-b99a-ba93ba1dc04e,site_7,detected,service changed,mqtt
2024-11-07 13:00:00_827,31be35a8-3bf0-4281-8385-57e3787cb602,site_7,detected,service changed,ntp
2024-11-07 13:00:00_827,56b00adc-47aa-49c9-81e0-439f9eb7a0c2,site_7,detected,service changed,ssh
2024-11-07 13:00:13_998,f4f4aa07-b316-41a1-b99a-ba93ba1dc04e,site_7,fixed,service changed,mqtt
2024-11-07 13:00:15_001,31be35a8-3bf0-4281-8385-57e3787cb602,site_7,fixed,service changed,ntp
2024-11-07 13:00:16_003,56b00adc-47aa-49c9-81e0-439f9eb7a0c2,site_7,fixed,service changed,ssh
2024-11-07 13:01:01_076,092b47bb-b3a2-49e2-80ed-d430bd2ad7ee,site_7,fixed,c_vlan,3EW0CWX46TAPWDZ3
2024-11-07 13:01:16_447,ea12b720-d32f-4492-a45f-09c1766e37ed,site_1,detected,service changed,trace
2024-11-07 13:01:33_116,ea12b720-d32f-4492-a45f-09c1766e37ed,site_1,fixed,service changed,trace
2024-11-07 13:01:47_229,9cacb39e-71b3-4446-8628-27bd45a28a11,site_3,detected,service changed,dhcpv6-relay
2024-11-07 13:01:47_229,46199449-64ad-47e0-ab81-e80b6f822295,site_3,detected,service changed,portal
2024-11-07 13:01:57_364,15d82a52-ff77-474b-bae3-a712269b056d,site_7,detected,c_vlan,W9DRQARTHT44P08K
2024-11-07 13:01:57_374,6d06091a-522b-4436-b378-29324647f649,site_7,detected,s_vlan,WFTK2XMFVVK032SA
2024-11-07 13:01:57_385,e10d5a18-ce56-4d6f-9b16-908e5edf0965,site_7,detected,vlan_type,0FLW1HTQA4EC2ZEV
2024-11-07 13:01:57_394,81f9fc12-b6c7-4786-8d11-f08e826864e6,site_7,detected,snmp_profile,WQTLUF0K8JCZ3W4O
2024-11-07 13:02:00_684,bb3f4ed6-b985-45b1-8c8e-43af4e2bb23f,site_7,detected,service changed,ssh
2024-11-07 13:02:04_170,9cacb39e-71b3-4446-8628-27bd45a28a11,site_3,fixed,service changed,dhcpv6-relay
2024-11-07 13:02:06_176,46199449-64ad-47e0-ab81-e80b6f822295,site_3,fixed,service changed,portal
2024-11-07 13:02:10_216,1ced3143-7e07-4c34-906e-9c3b46535996,site_5,detected,service changed,sshv6
2024-11-07 13:02:10_216,de92a125-2a92-4c08-8fd0-95d07eb9d6d7,site_5,detected,service changed,telnetv6
2024-11-07 13:02:15_224,bb3f4ed6-b985-45b1-8c8e-43af4e2bb23f,site_7,fixed,service changed,ssh
2024-11-07 13:02:20_266,3518aa0e-58c6-4bc1-aeae-413edd146014,site_2,detected,service changed,netconf
2024-11-07 13:02:20_266,af5757a2-a0a8-4db7-98e0-da5f210417ff,site_2,detected,service changed,telnetv6
2024-11-07 13:02:26_268,1ced3143-7e07-4c34-906e-9c3b46535996,site_5,fixed,service changed,sshv6
2024-11-07 13:02:27_272,de92a125-2a92-4c08-8fd0-95d07eb9d6d7,site_5,fixed,service changed,telnetv6
2024-11-07 13:02:37_320,3518aa0e-58c6-4bc1-aeae-413edd146014,site_2,fixed,service changed,netconf
