timestamp,uuid,site,fixed_detected,event_type,sn
2024-11-06 22:00:45_364,f7c5cddc-7423-4ebb-a33e-af290738b9e5,site_5,detected,service changed,mqtt
2024-11-06 22:00:48_539,3c51b451-5348-41d7-90f6-4ed287fe8541,site_2,detected,service changed,mqtt
2024-11-06 22:00:59_919,f7c5cddc-7423-4ebb-a33e-af290738b9e5,site_5,fixed,service changed,mqtt
2024-11-06 22:01:03_924,3c51b451-5348-41d7-90f6-4ed287fe8541,site_2,fixed,service changed,mqtt
2024-11-06 22:01:12_377,e986a1bf-6e3c-4019-a594-bf98c2268617,site_6,detected,s_vlan,BN309D2RC49NR79V
2024-11-06 22:01:12_448,6646186f-8451-4937-9a71-76e8c1dbabbe,site_6,detected,snmp_profile,DV638SF4FHS1NK44
2024-11-06 22:01:12_448,dfbbafcf-0406-408b-b24f-146abc6237d8,site_6,detected,snmp_profile,MO5APDHQUSPXDUCK
2024-11-06 22:01:15_893,d5289d05-3e3d-4ae6-b131-d444d055872a,site_6,detected,service changed,radius
2024-11-06 22:01:30_984,d5289d05-3e3d-4ae6-b131-d444d055872a,site_6,fixed,service changed,radius
2024-11-06 22:02:07_457,631ddcd0-1498-4570-8311-350df3f056c6,site_4,detected,service changed,dhcpv6-relay
2024-11-06 22:02:25_160,631ddcd0-1498-4570-8311-350df3f056c6,site_4,fixed,service changed,dhcpv6-relay
2024-11-06 22:03:46_394,a33e1ca6-35d5-4984-8fec-63de341a975c,site_1,detected,service changed,mqtt
2024-11-06 22:03:46_394,02a03f7a-7ed8-409b-bb5a-cf5dedc041bb,site_1,detected,service changed,sftp-client
2024-11-06 22:03:46_394,95ab5956-4eae-4f9d-a1bb-3ba7cbcc5431,site_1,detected,service changed,snmpv6
2024-11-06 22:04:03_465,a33e1ca6-35d5-4984-8fec-63de341a975c,site_1,fixed,service changed,mqtt
2024-11-06 22:04:03_467,95ab5956-4eae-4f9d-a1bb-3ba7cbcc5431,site_1,fixed,service changed,snmpv6
2024-11-06 22:04:05_474,02a03f7a-7ed8-409b-bb5a-cf5dedc041bb,site_1,fixed,service changed,sftp-client
2024-11-06 22:04:50_048,788ddb1c-a8ce-4557-a5fe-94f184f12723,site_2,detected,service changed,dhcpv6-relay
2024-11-06 22:04:58_633,6646186f-8451-4937-9a71-76e8c1dbabbe,site_6,fixed,snmp_profile,DV638SF4FHS1NK44
