regex,textfsm,ttp
0.005568027496337891,0.0007474422454833984,0.003176450729370117
0.0051572322845458984,0.0002162456512451172,0.0016942024230957031
0.005157470703125,0.0002071857452392578,0.0010309219360351562
0.0052373409271240234,0.00020170211791992188,0.0010318756103515625
0.005324840545654297,0.0002658367156982422,0.0017688274383544922
0.005880832672119141,0.00029206275939941406,0.0011434555053710938
0.005535125732421875,0.0002872943878173828,0.0015094280242919922
0.005248546600341797,0.00028014183044433594,0.0010180473327636719
0.005609750747680664,0.00025653839111328125,0.001211404800415039
0.005199432373046875,0.00021648406982421875,0.001214742660522461
0.005075216293334961,0.0002200603485107422,0.0013337135314941406
0.005381345748901367,0.0002281665802001953,0.001142740249633789
0.005574941635131836,0.000255584716796875,0.0012557506561279297
0.006412982940673828,0.0002772808074951172,0.0012307167053222656
0.005614757537841797,0.00045871734619140625,0.0013895034790039062
0.005658626556396484,0.000255584716796875,0.0010750293731689453
0.005189180374145508,0.0001919269561767578,0.001729726791381836
0.005308628082275391,0.00022935867309570312,0.0009970664978027344
0.005325794219970703,0.0002532005310058594,0.0010449886322021484
0.0057218074798583984,0.0003578662872314453,0.0010924339294433594
0.005059480667114258,0.0001823902130126953,0.0009622573852539062
0.00520634651184082,0.00022673606872558594,0.0011181831359863281
0.00517582893371582,0.0002384185791015625,0.0013866424560546875
0.005455970764160156,0.00020051002502441406,0.0011515617370605469
0.005899667739868164,0.0009207725524902344,0.002685070037841797
0.005323886871337891,0.00024437904357910156,0.0010979175567626953
0.00552058219909668,0.0002689361572265625,0.0015749931335449219
0.005041599273681641,0.00021505355834960938,0.0010612010955810547
0.005398988723754883,0.0002751350402832031,0.002009153366088867
0.005471229553222656,0.00021076202392578125,0.0011501312255859375
0.00561833381652832,0.0002319812774658203,0.0012767314910888672
0.005631685256958008,0.00026226043701171875,0.0011565685272216797
0.0056035518646240234,0.00023794174194335938,0.001070261001586914
0.0053484439849853516,0.0002231597900390625,0.0014083385467529297
0.005300760269165039,0.00019288063049316406,0.0012958049774169922
0.005721330642700195,0.00026607513427734375,0.0011723041534423828
0.005318164825439453,0.0002524852752685547,0.0012307167053222656
0.0052182674407958984,0.0002086162567138672,0.0009763240814208984
0.005338191986083984,0.00023126602172851562,0.0010874271392822266
0.005639314651489258,0.0003647804260253906,0.0014629364013671875
0.005204200744628906,0.00018262863159179688,0.0017359256744384766
0.005829572677612305,0.0002579689025878906,0.0010869503021240234
0.005396604537963867,0.0002543926239013672,0.0010595321655273438
0.005479574203491211,0.0002338886260986328,0.0018284320831298828
0.0059130191802978516,0.0002799034118652344,0.0010941028594970703
0.005512237548828125,0.00021386146545410156,0.0011713504791259766
0.0055544376373291016,0.00042128562927246094,0.0011034011840820312
0.005240917205810547,0.0001900196075439453,0.000997781753540039
0.00532078742980957,0.0002391338348388672,0.0012216567993164062
0.005816936492919922,0.00024890899658203125,0.0011265277862548828
0.005913972854614258,0.0002765655517578125,0.0012633800506591797
0.005603313446044922,0.00023746490478515625,0.0013556480407714844
0.005312204360961914,0.00044155120849609375,0.0018856525421142578
0.0053174495697021484,0.00021386146545410156,0.0011451244354248047
0.005234956741333008,0.00019693374633789062,0.0009713172912597656
0.005505084991455078,0.00024271011352539062,0.001253366470336914
0.00536799430847168,0.00024700164794921875,0.0010838508605957031
0.005384922027587891,0.00024127960205078125,0.0011463165283203125
0.00554347038269043,0.00021576881408691406,0.001188039779663086
0.005898952484130859,0.0002663135528564453,0.0013098716735839844
0.005309581756591797,0.00023603439331054688,0.0012388229370117188
0.005174875259399414,0.0002377033233642578,0.0016374588012695312
0.005509614944458008,0.0002262592315673828,0.0011022090911865234
