Number of mismatchs,Time Taken
5,204.91216373443604
1,187.34197950363160
0,166.46163487434387
5,180.22828340530396
0,160.09843063354492
0,168.83256721496582
0,172.37408924102783
0,154.50695943832397
0,159.15978455543518
1,160.54648208618164
